Date,AUD,CAD,CHF,EUR,GBP,JPY,NZD
2011-07-12,0.07212476283960528,-0.040363302690432326,-0.11563119764953396,0.047225429484080844,-0.25216794467926235,-0.015050661707791652,0.1921808520507231
2011-07-13,0.07212476283960528,-0.040363302690432326,-0.11563119764953396,0.047225429484080844,-0.25216794467926235,-0.015050661707791652,0.1921808520507231
2011-07-14,0.07212476283960528,-0.040363302690432326,-0.11563119764953396,0.047225429484080844,-0.25216794467926235,-0.015050661707791652,0.1921808520507231
2011-07-15,0.07212476283960528,-0.040363302690432326,-0.11563119764953396,0.047225429484080844,-0.25216794467926235,-0.015050661707791652,0.1921808520507231
2011-07-18,0.07212476283960528,-0.040363302690432326,-0.11563119764953396,0.047225429484080844,-0.25216794467926235,-0.015050661707791652,0.1921808520507231
2011-07-19,-0.02758359967533952,0.004750840791052091,-0.07966388959807794,-0.19516766071860847,-0.328484955334983,-0.017956148727287125,0.04698125078694482
2011-07-20,-0.02758359967533952,0.004750840791052091,-0.07966388959807794,-0.19516766071860847,-0.328484955334983,-0.017956148727287125,0.04698125078694482
2011-07-21,-0.02758359967533952,0.004750840791052091,-0.07966388959807794,-0.19516766071860847,-0.328484955334983,-0.017956148727287125,0.04698125078694482
2011-07-22,-0.02758359967533952,0.004750840791052091,-0.07966388959807794,-0.19516766071860847,-0.328484955334983,-0.017956148727287125,0.04698125078694482
2011-07-25,-0.02758359967533952,0.004750840791052091,-0.07966388959807794,-0.19516766071860847,-0.328484955334983,-0.017956148727287125,0.04698125078694482
2011-07-26,0.059132169683780655,0.19753991127677567,-0.009780395417113313,-0.1060831091872333,0.05407476954469122,-0.0038592796241702088,0.0670649961708012
2011-07-27,0.059132169683780655,0.19753991127677567,-0.009780395417113313,-0.1060831091872333,0.05407476954469122,-0.0038592796241702088,0.0670649961708012
2011-07-28,0.059132169683780655,0.19753991127677567,-0.009780395417113313,-0.1060831091872333,0.05407476954469122,-0.0038592796241702088,0.0670649961708012
2011-07-29,0.059132169683780655,0.19753991127677567,-0.009780395417113313,-0.1060831091872333,0.05407476954469122,-0.0038592796241702088,0.0670649961708012
2011-08-01,0.059132169683780655,0.19753991127677567,-0.009780395417113313,-0.1060831091872333,0.05407476954469122,-0.0038592796241702088,0.0670649961708012
2011-08-02,0.09979642525528698,0.30075364676101146,-0.046996590609795164,-0.08730005012249961,0.19170922727894438,0.22477385596351568,0.09092562432169127
2011-08-03,0.09979642525528698,0.30075364676101146,-0.046996590609795164,-0.08730005012249961,0.19170922727894438,0.22477385596351568,0.09092562432169127
2011-08-04,0.09979642525528698,0.30075364676101146,-0.046996590609795164,-0.08730005012249961,0.19170922727894438,0.22477385596351568,0.09092562432169127
2011-08-05,0.09979642525528698,0.30075364676101146,-0.046996590609795164,-0.08730005012249961,0.19170922727894438,0.22477385596351568,0.09092562432169127
2011-08-08,0.09979642525528698,0.30075364676101146,-0.046996590609795164,-0.08730005012249961,0.19170922727894438,0.22477385596351568,0.09092562432169127
2011-08-09,0.04371512588462767,0.24383218071620588,0.10561244245963138,-0.21302871696039682,0.3173773423609368,0.24418152331853413,0.09195660832380015
2011-08-10,0.04371512588462767,0.24383218071620588,0.10561244245963138,-0.21302871696039682,0.3173773423609368,0.24418152331853413,0.09195660832380015
2011-08-11,0.04371512588462767,0.24383218071620588,0.10561244245963138,-0.21302871696039682,0.3173773423609368,0.24418152331853413,0.09195660832380015
2011-08-12,0.04371512588462767,0.24383218071620588,0.10561244245963138,-0.21302871696039682,0.3173773423609368,0.24418152331853413,0.09195660832380015
2011-08-15,0.04371512588462767,0.24383218071620588,0.10561244245963138,-0.21302871696039682,0.3173773423609368,0.24418152331853413,0.09195660832380015
2011-08-16,-0.28264956119708123,0.06186659133141384,-0.07843400551997796,-0.11198485537768604,0.207061511815744,0.1073366377153539,0.04737013744423213
2011-08-17,-0.28264956119708123,0.06186659133141384,-0.07843400551997796,-0.11198485537768604,0.207061511815744,0.1073366377153539,0.04737013744423213
2011-08-18,-0.28264956119708123,0.06186659133141384,-0.07843400551997796,-0.11198485537768604,0.207061511815744,0.1073366377153539,0.04737013744423213
2011-08-19,-0.28264956119708123,0.06186659133141384,-0.07843400551997796,-0.11198485537768604,0.207061511815744,0.1073366377153539,0.04737013744423213
2011-08-22,-0.28264956119708123,0.06186659133141384,-0.07843400551997796,-0.11198485537768604,0.207061511815744,0.1073366377153539,0.04737013744423213
2011-08-23,-0.31629174262989673,-0.18279946962483978,-0.03473493733532701,-0.011462143985351184,0.03752039581644716,0.04986092327818642,-0.00029979834600535327
2011-08-24,-0.31629174262989673,-0.18279946962483978,-0.03473493733532701,-0.011462143985351184,0.03752039581644716,0.04986092327818642,-0.00029979834600535327
2011-08-25,-0.31629174262989673,-0.18279946962483978,-0.03473493733532701,-0.011462143985351184,0.03752039581644716,0.04986092327818642,-0.00029979834600535327
2011-08-26,-0.31629174262989673,-0.18279946962483978,-0.03473493733532701,-0.011462143985351184,0.03752039581644716,0.04986092327818642,-0.00029979834600535327
