date,USD,GBP,CHF
1993-03-24,3.93,6.064332635420823,4.7705
1993-03-25,3.92,6.063105601438222,4.7705
1993-03-26,4.02,6.090597010230438,4.7705
1993-03-29,3.95,6.039150046731082,4.569000000000001
1993-03-30,3.91,5.990866949671861,4.569000000000001
1993-03-31,3.96,6.012969756726322,4.6
1993-04-01,3.94,6.055414496955504,4.6
1993-04-02,3.99,6.028506016472758,4.6
1993-04-05,3.96,6.037945086419054,4.532500000000001
1993-04-06,3.93,6.03414352904645,4.532500000000001
1993-04-07,3.93,6.016056980545812,4.532500000000001
1993-04-08,3.85,5.970976779687702,4.532500000000001
1993-04-09,3.85,5.970976779687702,4.532500000000001
1993-04-12,3.82,5.970976779687702,4.532500000000001
1993-04-13,3.82,5.9518400656364046,4.502000000000001
1993-04-14,3.78,6.054356718945388,4.502000000000001
1993-04-15,3.79,6.126327214990054,4.502000000000001
1993-04-16,3.8,6.316439984786562,4.502000000000001
1993-04-19,3.78,6.4412750240690135,4.5954999999999995
1993-04-20,3.78,6.389648263625963,4.5954999999999995
1993-04-21,3.77,6.369231785012225,4.5954999999999995
1993-04-22,3.75,6.479357605376282,4.5954999999999995
1993-04-23,3.75,6.4929633514057175,4.5954999999999995
1993-04-26,3.79,6.53525254662232,4.6105
1993-04-27,3.88,6.463390015444928,4.6105
1993-04-28,3.86,6.488850964381307,4.6105
1993-04-29,3.79,6.587654671501627,4.6105
1993-04-30,3.83,6.521958939438139,4.6240000000000006
1993-05-03,3.75,6.521958939438139,4.8115000000000006
1993-05-04,3.75,6.438947591834091,4.8115000000000006
1993-05-05,3.8,6.427873337062384,4.8115000000000006
1993-05-06,3.8,6.460550679703168,4.8115000000000006
1993-05-07,3.79,6.37103060708486,4.8115000000000006
1993-05-10,3.79,6.324221336586389,4.766
1993-05-11,3.79,6.321125756366483,4.766
1993-05-12,3.82,6.291880762360588,4.766
1993-05-13,3.91,6.325473187344241,4.766
1993-05-14,3.97,6.373896413787141,4.766
1993-05-17,4.05,6.405122119875275,4.6884999999999994
1993-05-18,4.08,6.419894094757206,4.6884999999999994
1993-05-19,4.03,6.374756626171307,4.6884999999999994
1993-05-20,4.03,6.381472668550218,4.6884999999999994
1993-05-21,4.14,6.373934411695789,4.6884999999999994
1993-05-24,4.19,6.338484228971978,4.7125
1993-05-25,4.19,6.305356210251606,4.7125
1993-05-26,4.2,6.280037012249603,4.7125
1993-05-27,4.22,6.296496381822372,4.7125
1993-05-28,4.24,6.33644266479694,4.7125
1993-06-01,4.16,6.2191832765781525,4.6555
1993-06-02,4.18,6.210613503076037,4.6555
1993-06-03,4.14,6.219695924339823,4.6555
1993-06-04,4.31,6.218315244648135,4.6555
1993-06-07,4.3,6.228841891653864,4.6675
1993-06-08,4.33,6.232907891553867,4.6675
1993-06-09,4.29,6.2177863979213095,4.6675
1993-06-10,4.29,6.219030663487044,4.6675
1993-06-11,4.15,6.213471669180695,4.6675
1993-06-14,4.13,6.187364623569671,4.6975
1993-06-15,4.11,6.1951376929455995,4.6975
1993-06-16,4.09,6.177407016768142,4.6975
1993-06-17,4.08,6.206001122089928,4.6975
1993-06-18,4.16,6.198812882033082,4.6975
1993-06-21,4.16,6.13492944049747,4.628
1993-06-22,4.15,6.10661638021034,4.628
1993-06-23,4.2,6.1116067187383205,4.628
1993-06-24,4.15,6.097348562614268,4.628
1993-06-25,4.1,6.128266524017391,4.628
1993-06-28,4.06,6.094404977783425,4.616
1993-06-29,4.03,6.086991511243829,4.616
1993-06-30,4.03,6.0370196274889185,4.5035
1993-07-01,3.99,5.9826453078330255,4.5035
1993-07-02,3.93,5.939100383845853,4.5035
1993-07-06,4.0,5.883691512890025,4.5035
1993-07-07,4.0,5.899547726338595,4.5035
1993-07-08,4.0,5.901063078365461,4.5035
1993-07-09,3.98,5.886600018963768,4.5035
1993-07-12,3.99,5.892637915980871,4.3445
1993-07-13,4.04,5.952643182496095,4.3445
1993-07-14,3.97,5.902816703191012,4.3445
1993-07-15,3.99,5.871100405472668,4.3445
1993-07-16,3.99,5.897380941233334,4.3445
1993-07-19,3.99,5.9562294377668055,4.339
1993-07-20,4.09,5.971388746941756,4.339
1993-07-21,4.15,6.085136182395025,4.339
1993-07-22,4.22,6.038216867695265,4.339
1993-07-23,4.25,6.019128143531337,4.339
1993-07-26,4.22,5.971922014156933,4.425
1993-07-27,4.25,5.973311738720579,4.425
1993-07-28,4.21,5.839897267612796,4.425
1993-07-29,4.12,5.797652799171297,4.425
1993-07-30,4.13,5.673570846703405,4.3245000000000005
1993-08-02,4.19,5.668562157213552,4.4195
1993-08-03,4.17,5.654130384318703,4.4195
1993-08-04,4.16,5.6862814474502255,4.4195
1993-08-05,4.12,5.667938993267786,4.4195
1993-08-06,4.09,5.630655241066213,4.4195
1993-08-09,4.06,5.666856037592396,4.397
1993-08-10,4.1,5.647465994999718,4.397
1993-08-11,4.1,5.575405011549534,4.397
1993-08-12,4.06,5.597816115529184,4.397
1993-08-13,4.0,5.589661875305603,4.397
1993-08-16,3.98,5.589693839044403,4.4975000000000005
1993-08-17,4.02,5.597709974425435,4.4975000000000005
1993-08-18,3.98,5.64037012090678,4.4975000000000005
1993-08-19,3.93,5.694992559562984,4.4975000000000005
1993-08-20,3.93,5.686972241994672,4.4975000000000005
1993-08-23,3.97,5.6679598945025615,4.4510000000000005
1993-08-24,3.89,5.63514467728835,4.4510000000000005
1993-08-25,3.85,5.620562307226023,4.4510000000000005
1993-08-26,3.82,5.6674654200545485,4.4510000000000005
1993-08-27,3.87,5.6427791939755885,4.4510000000000005
1993-08-30,3.86,5.6427791939755885,4.428
1993-08-31,3.88,5.630111954074049,4.3215
1993-09-01,3.88,5.625444978150742,4.3215
1993-09-02,3.83,5.696193541159176,4.3215
1993-09-03,3.71,5.692948574227267,4.3215
1993-09-07,3.7,5.6889667773303465,4.3215
1993-09-08,3.78,5.692260491691139,4.3215
1993-09-09,3.88,5.7300635945400495,4.3215
1993-09-10,3.8,5.72170323572,4.3215
1993-09-13,3.82,5.708329555644546,4.417
1993-09-14,3.91,5.7577943042476765,4.417
1993-09-15,3.89,5.864825608330304,4.417
1993-09-16,3.88,5.864485186433364,4.417
1993-09-17,3.89,5.839342848434713,4.417
1993-09-20,3.92,5.864158702046413,4.4190000000000005
1993-09-21,3.9,5.867480073214205,4.4190000000000005
1993-09-22,3.9,5.848505657731179,4.4190000000000005
1993-09-23,3.87,5.814430016460692,4.4190000000000005
1993-09-24,3.9,5.7681189680216205,4.4190000000000005
1993-09-27,3.81,5.733417583899554,4.4625
1993-09-28,3.79,5.7485692550792775,4.4625
1993-09-29,3.84,5.746081809444691,4.4625
1993-09-30,3.89,5.7478611359680105,4.244999999999999
1993-10-01,3.84,5.762968747466407,4.244999999999999
1993-10-04,3.85,5.72234698473428,4.2955000000000005
1993-10-05,3.86,5.704409975203072,4.2955000000000005
1993-10-06,3.85,5.692556910039218,4.2955000000000005
1993-10-07,3.83,5.714940448153887,4.2955000000000005
1993-10-08,3.78,5.688977113704096,4.2955000000000005
1993-10-12,3.82,5.656815540929255,4.2955000000000005
1993-10-13,3.84,5.616028579823584,4.2955000000000005
1993-10-14,3.82,5.583108602303204,4.2955000000000005
1993-10-15,3.81,5.54606709456332,4.2955000000000005
1993-10-18,3.84,5.514480463720585,4.1075
1993-10-19,3.86,5.498826197682338,4.1075
1993-10-20,3.86,5.459467543533749,4.1075
1993-10-21,3.89,5.416228244433476,4.1075
1993-10-22,3.91,5.3651285199714875,4.1075
1993-10-25,3.95,5.437081391596905,4.1245
1993-10-26,3.93,5.436185090667591,4.1245
1993-10-27,3.99,5.490034643135735,4.1245
1993-10-28,3.97,5.465874800195163,4.1245
1993-10-29,3.99,5.4540488452762395,4.077999999999999
1993-11-01,4.11,5.567750760871674,4.086
