gate 1: 128 shards total, 0 already checkpointed, 128 queued now, 8 workers
  floors: {'trend': 0.0789746052852731, 'chop': 0.0948921307658818}   PF >= 1.05
    shard   18:  60000 done, 7.24 ms/combo, 3 min left
    shard   19:  60000 done, 7.23 ms/combo, 3 min left
    shard   20:  60000 done, 7.24 ms/combo, 3 min left
    shard   22:  60000 done, 7.23 ms/combo, 3 min left
    shard   21:  60000 done, 7.23 ms/combo, 3 min left
    shard   23:  60000 done, 7.25 ms/combo, 3 min left
    shard   16:  65000 done, 7.23 ms/combo, 2 min left
    shard   17:  65000 done, 7.23 ms/combo, 2 min left
    shard   18:  65000 done, 7.24 ms/combo, 2 min left
    shard   19:  65000 done, 7.24 ms/combo, 2 min left
    shard   20:  65000 done, 7.24 ms/combo, 2 min left
    shard   21:  65000 done, 7.23 ms/combo, 2 min left
    shard   22:  65000 done, 7.23 ms/combo, 2 min left
    shard   23:  65000 done, 7.25 ms/combo, 2 min left
    shard   16:  70000 done, 7.25 ms/combo, 2 min left
    shard   17:  70000 done, 7.25 ms/combo, 2 min left
    shard   18:  70000 done, 7.26 ms/combo, 2 min left
    shard   19:  70000 done, 7.26 ms/combo, 2 min left
    shard   20:  70000 done, 7.26 ms/combo, 2 min left
    shard   21:  70000 done, 7.25 ms/combo, 2 min left
    shard   22:  70000 done, 7.25 ms/combo, 2 min left
    shard   23:  70000 done, 7.27 ms/combo, 2 min left
    shard   16:  75000 done, 7.24 ms/combo, 1 min left
    shard   17:  75000 done, 7.25 ms/combo, 1 min left
    shard   19:  75000 done, 7.25 ms/combo, 1 min left
    shard   18:  75000 done, 7.26 ms/combo, 1 min left
    shard   20:  75000 done, 7.26 ms/combo, 1 min left
    shard   21:  75000 done, 7.25 ms/combo, 1 min left
    shard   22:  75000 done, 7.25 ms/combo, 1 min left
    shard   23:  75000 done, 7.27 ms/combo, 1 min left
    shard   16:  80000 done, 7.24 ms/combo, 0 min left
    shard   17:  80000 done, 7.25 ms/combo, 0 min left
    shard   19:  80000 done, 7.25 ms/combo, 0 min left
    shard   18:  80000 done, 7.26 ms/combo, 0 min left
    shard   20:  80000 done, 7.26 ms/combo, 0 min left
    shard   21:  80000 done, 7.25 ms/combo, 0 min left
    shard   22:  80000 done, 7.25 ms/combo, 0 min left
    shard   23:  80000 done, 7.27 ms/combo, 0 min left
  shard   16:    83418 seen | eligible  67944/ 56341 | survivors  5004/ 1311  (trend/chop)
  shard   17:    83418 seen | eligible  67911/ 56282 | survivors  4834/ 1294  (trend/chop)
  shard   19:    83418 seen | eligible  67955/ 56335 | survivors  4909/ 1300  (trend/chop)
  shard   18:    83418 seen | eligible  67907/ 56375 | survivors  4886/ 1323  (trend/chop)
