indicator,parameter,default,grid_points,response_R,response_max_R,n_combos,note,n_measurements,rank_in_indicator,in_cap6,is_top1
trend_direction_force_index_signals,fhigh,0.05,13,0.1054575237075971,0.2017365986620245,16,,2,2,True,False
trend_direction_force_index_signals,flow,-0.05,13,0.0801288441760481,0.1313296865558469,16,,2,3,True,False
ttm_squeeze_volume_signals,bb_length,20.0,13,0.1018821434462965,0.1719486135978893,8,,1,1,True,True
ttm_squeeze_volume_signals,kc_mult,1.5,13,0.0740011082332414,0.1571345822343434,8,,1,2,True,False
ttm_squeeze_volume_signals,kc_length,20.0,13,0.060960317287817,0.1515242709553447,8,,1,3,True,False
ttm_squeeze_volume_signals,bb_mult,2.0,6,0.0398257624080013,0.1476339126257212,8,,1,4,True,False
variance_volume_signals,lookback,20.0,13,0.17947100897937,0.2661390947976587,8,,1,1,True,True
variance_volume_signals,filter_lookback,20.0,13,0.132841361982066,0.2935714300984281,8,,1,2,True,False
variance_volume_signals,ema_len,10.0,11,0.1193440017543843,0.2208171074060648,8,,1,3,True,False
variance_volume_signals,hline,0.0,1,0.0,,0,single-point grid,1,4,True,False
vertical_horizontal_filter_volume_signals,length,28.0,13,0.1220410706314296,0.1957518753647736,8,,1,1,True,True
vertical_horizontal_filter_volume_signals,vhf_threshold,0.35,13,0.0809088741683099,0.1499707820154542,8,,1,2,True,False
vidya,vda_length,2.0,6,0.093885050621121,0.1605112972137796,7,,1,1,True,True
volatility_quality_exit,smooth,10.0,11,0.042162117025842,0.0869298585395539,8,,1,1,True,True
volatility_quality_exit,atr_pct,0.075,13,0.0349697905373793,0.0788754342549524,8,,1,2,True,False
volatility_quality_signals,smooth,10.0,11,0.10357917546981324,0.1684256571632584,16,,2,1,True,True
volatility_quality_signals,atr_pct,0.075,13,0.1018350044265805,0.2017464306204849,16,,2,2,True,False
volatility_ratio_volume_signals,length,14.0,12,0.0812396722797848,0.1150243853021332,8,,1,1,True,True
vortex_exit,period,14.0,12,0.0563287354541152,0.0911198575969469,8,,1,1,True,True
vortex_signals,period,14.0,12,0.1184253057603819,0.2715703386061603,16,,2,1,True,True
waddah_attar_explosion_exit,fastEma,20.0,13,0.044272101337199,0.1148364378738449,8,,1,1,True,True
waddah_attar_explosion_exit,sensitivity,150.0,13,0.0277673486256746,0.0582118560435403,8,,1,2,True,False
waddah_attar_explosion_exit,slowEma,40.0,13,0.0273242871017734,0.0580207360523768,8,,1,3,True,False
waddah_attar_explosion_exit,bbStd,2.0,6,0.0207778019486477,0.0510574130556843,8,,1,4,True,False
waddah_attar_explosion_exit,bbLen,20.0,13,0.0180119764670178,0.0461405996950735,8,,1,5,True,False
waddah_attar_explosion_signals,slowEma,40.0,13,0.1043557550372616,0.260382435296404,16,,2,1,True,True
waddah_attar_explosion_signals,fastEma,20.0,13,0.0921783744570361,0.2319765901557154,16,,2,2,True,False
waddah_attar_explosion_signals,bbLen,20.0,13,0.0434300451174023,0.0728469375171831,16,,2,3,True,False
waddah_attar_explosion_signals,sensitivity,150.0,13,0.04295233702470655,0.12588332947826,16,,2,4,True,False
waddah_attar_explosion_signals,bbStd,2.0,6,0.038190035036721304,0.1245366467891567,15,,2,5,True,False
waddah_attar_explosion_volume_signals,slowEma,40.0,13,0.1069189017518914,0.2145047555453384,8,,1,1,True,True
waddah_attar_explosion_volume_signals,fastEma,20.0,13,0.1034278656667444,0.1585556217432264,8,,1,2,True,False
waddah_attar_explosion_volume_signals,sensitivity,150.0,13,0.047539261509157,0.1086793519909505,8,,1,3,True,False
waddah_attar_explosion_volume_signals,bbStd,2.0,6,0.038967250770873,0.0833170715889213,8,,1,4,True,False
waddah_attar_explosion_volume_signals,bbLen,20.0,13,0.0353803801236779,0.0581398202773932,8,,1,5,True,False
williams_vix_fix_volume_signals,lookback,22.0,13,0.1170201906875969,0.2184271550135522,8,,1,1,True,True
williams_vix_fix_volume_signals,bb_length,20.0,13,0.1144235909281141,0.3036085744459387,8,,1,2,True,False
williams_vix_fix_volume_signals,bb_mult,2.0,6,0.0,0.0,0,,1,3,True,False
wma_baseline,ma_length,20.0,13,0.1284006378286253,0.2259081011602398,8,,1,1,True,True
