trades,hit_rate_pct,r_per_unit,worst_dip_R,member,period,dim,bucket,vs_all_r,dow_spread_real,dow_spread_null_mean,dow_spread_p
33,30.3,0.161,5.0,g13,OOS,entry_dow,Tue,-0.0854,0.7064107383051876,0.6160414565524411,0.327
28,32.1,0.124,5.98,g13,OOS,entry_dow,Wed,-0.1224,0.7064107383051876,0.6160414565524411,0.327
28,32.1,0.4377,2.519,g13,OOS,entry_dow,Thu,0.1913,0.7064107383051876,0.6160414565524411,0.327
25,36.0,0.3778,5.802,g13,OOS,entry_dow,Fri,0.1314,0.7064107383051876,0.6160414565524411,0.327
26,30.8,0.2756,7.998,g13,OOS,holiday_window,any,0.0292,0.7064107383051876,0.6160414565524411,0.327
118,37.3,1.0241,12.125,g14,IS,all,all,,1.6971491946581394,1.7362792435382999,0.498
22,50.0,4.0234,2.0,g14,IS,entry_dow,Mon,2.9993,1.6971491946581394,1.7362792435382999,0.498
16,62.5,0.8673,3.0,g14,IS,entry_dow,Tue,-0.1568,1.6971491946581394,1.7362792435382999,0.498
30,30.0,0.1432,2.709,g14,IS,entry_dow,Wed,-0.8809,1.6971491946581394,1.7362792435382999,0.498
30,33.3,0.4018,4.0,g14,IS,entry_dow,Thu,-0.6223,1.6971491946581394,1.7362792435382999,0.498
20,20.0,0.1049,6.224,g14,IS,entry_dow,Fri,-0.9192,1.6971491946581394,1.7362792435382999,0.498
14,57.1,1.2448,1.078,g14,IS,holiday_window,any,0.2207,1.6971491946581394,1.7362792435382999,0.498
112,35.7,0.2003,5.962,g14,OOS,all,all,,1.6971491946581394,1.7362792435382999,0.498
26,11.5,-0.1705,3.933,g14,OOS,entry_dow,Mon,-0.3708,1.6971491946581394,1.7362792435382999,0.498
20,40.0,0.4994,2.946,g14,OOS,entry_dow,Tue,0.2991,1.6971491946581394,1.7362792435382999,0.498
18,55.6,0.6283,1.188,g14,OOS,entry_dow,Wed,0.428,1.6971491946581394,1.7362792435382999,0.498
32,40.6,0.1781,2.039,g14,OOS,entry_dow,Thu,-0.0222,1.6971491946581394,1.7362792435382999,0.498
16,37.5,-0.0084,2.78,g14,OOS,entry_dow,Fri,-0.2087,1.6971491946581394,1.7362792435382999,0.498
26,23.1,0.1267,5.032,g14,OOS,holiday_window,any,-0.0736,1.6971491946581394,1.7362792435382999,0.498
268,41.8,0.3271,8.266,g15,IS,all,all,,0.4279377803693417,0.23313120415279603,0.019
46,43.5,0.2994,4.868,g15,IS,entry_dow,Mon,-0.0277,0.4279377803693417,0.23313120415279603,0.019
60,50.0,0.5457,3.465,g15,IS,entry_dow,Tue,0.2186,0.4279377803693417,0.23313120415279603,0.019
58,41.4,0.419,1.689,g15,IS,entry_dow,Wed,0.0919,0.4279377803693417,0.23313120415279603,0.019
