family,fast,slow,state,lead,is_lift,is_surr,is_excess,is_z
mas,2,72,structural M=5,1,0.6368914650962395,0.6086910286676477,0.028200436428591824,0.9460425451298797
mas,2,72,nine-box,1,1.1502366653789573,1.096510886158474,0.05372577922048327,1.8086206324532668
mas,2,72,product M=5,3,0.6744916315793774,0.7064362803636988,-0.03194464878432135,-2.548658446413211
mas,2,72,structural M=5,3,0.5991465673718167,0.6263426497481344,-0.027196082376317654,-1.81659001980594
mas,2,72,nine-box,3,1.0321803507188192,1.0655892537579754,-0.033408903039156224,-2.5154933954504908
mas,2,92,product M=5,1,0.6652938369644508,0.679390253221756,-0.014096416257305178,-0.4237526521453071
mas,2,92,structural M=5,1,0.6169152613542487,0.609434352474652,0.007480908879596626,0.2409831080694256
mas,2,92,nine-box,1,1.1470339494663255,1.0924971146931317,0.05453683477319382,2.1231221988016165
mas,2,92,product M=5,3,0.6569718412314618,0.6994359635565581,-0.04246412232509633,-2.5613276099762854
mas,2,92,structural M=5,3,0.5945707096156023,0.6219291762049506,-0.027358466589348263,-1.6078695921740933
mas,2,92,nine-box,3,1.0304741960997998,1.060642998811351,-0.0301688027115512,-2.40336437537225
mas,2,118,product M=5,1,0.6383531556546299,0.6799047606714621,-0.041551605016832194,-1.1462576161731008
mas,2,118,structural M=5,1,0.6228917035588555,0.6114479910863553,0.0114437124725002,0.3200106371787502
mas,2,118,nine-box,1,1.1361545050177608,1.0843714525387664,0.051783052478994396,2.1429197462790692
mas,2,118,product M=5,3,0.6601520314538677,0.6959559291697955,-0.035803897715927846,-2.131154360975333
mas,2,118,structural M=5,3,0.6040932130618315,0.6196073905027747,-0.015514177440943189,-0.9376222623979661
mas,2,118,nine-box,3,1.023348609972515,1.0523120103830876,-0.02896340041057255,-2.1596394742179776
mas,2,152,product M=5,1,0.6726012374512689,0.6887084438336142,-0.016107206382345307,-0.5371126088676135
mas,2,152,structural M=5,1,0.633700449129796,0.617916200367638,0.015784248762158004,0.5325083844585754
mas,2,152,nine-box,1,1.1200550167984566,1.0811978335946062,0.038857183203850454,1.5722299862628863
mas,2,152,product M=5,3,0.6624880889564401,0.6946558383565605,-0.03216774940012046,-1.9700206707212697
