si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,batch,H
-0.019526916878315342,-11.858238226510242,-0.8821405356928175,0.8214285714285714,28,-0.027756072134486276,-15.32168717812089,-0.9729765250926927,0.8928571428571429,28,1.29207112266203,True,zz_coex3_D150,regime-v5,20
-0.004582437624541913,-1.651848178088128,-0.31503976986195814,0.6071428571428571,28,-0.017092812060418572,-4.998345502526787,-0.9569067623919593,0.7142857142857143,28,3.0259109576958467,True,ps_coexmax_D150,regime-v5,5
-0.010447473010810282,-4.931805664857346,-0.5091796599819625,0.6428571428571429,28,-0.0344457304422075,-13.269603379387654,-0.96071353894017,0.9285714285714286,28,2.690617652261341,True,ps_coexmax_D150,regime-v5,10
-0.00891827728974548,-5.100814517674363,-0.27517181984670774,0.6071428571428571,28,-0.04184573494147728,-19.66275420160599,-0.956253323346447,0.9285714285714286,28,3.8548263485124563,True,ps_coexmax_D150,regime-v5,15
-0.012002564439723085,-7.9223923618765175,-0.25728262154179615,0.6785714285714286,28,-0.03606885084593203,-19.771586912273946,-0.9559142233689019,0.8928571428571429,28,2.495658635567855,True,ps_coexmax_D150,regime-v5,20
-0.002316345547912102,-0.8077853057323575,-0.42661505310597775,0.5,28,-0.013928245616787682,-4.045850930359311,-0.8709362791641946,0.8571428571428571,28,5.008572081775176,True,zs_coex2_D375,regime-v5,5
-0.010883747520307352,-5.011211432266298,-0.6773960221909316,0.5357142857142857,28,-0.023845275817642897,-9.214495102128923,-0.9306873498970138,0.9285714285714286,28,1.8387759580045717,True,zs_coex2_D375,regime-v5,10
-0.010867605963791327,-5.977385314717446,-0.7310254359856533,0.5357142857142857,28,-0.028351400410469685,-13.454502608461338,-0.9831967330725415,0.9642857142857143,28,2.2509010043795947,True,zs_coex2_D375,regime-v5,15
-0.012916301295004734,-8.114999437827038,-0.8651424221354291,0.6071428571428571,28,-0.03142736873766902,-17.1657773293609,-0.9797409420304695,0.9642857142857143,28,2.1153146664859657,True,zs_coex2_D375,regime-v5,20
-0.01720306865131821,-5.716615171090041,-0.5091043866146495,0.8214285714285714,28,-0.018531268264731893,-5.400636314150286,-0.879956478603778,0.75,28,0.9447262326598933,True,zz_coex3_D375,regime-v5,5
-0.01991149896738237,-8.75072893456354,-0.5776023245910349,0.9285714285714286,28,-0.04242184457265946,-16.2626577641143,-0.9687253169913104,0.9642857142857143,28,1.8584346384996822,True,zz_coex3_D375,regime-v5,10
-0.014241511617496705,-7.49805243382438,-0.717188372172046,0.75,28,-0.04652942474015262,-21.53054038843996,-0.9825667117025879,0.9642857142857143,28,2.871484372570373,True,zz_coex3_D375,regime-v5,15
-0.008431579492004071,-5.133337899080127,-0.5013521645709901,0.6785714285714286,28,-0.037548889774841526,-20.232536913890304,-0.9784201739573232,0.9642857142857143,28,3.9413997893097767,True,zz_coex3_D375,regime-v5,20
0.007742329563279027,2.6866894785623954,-0.1382448694499659,0.5714285714285714,28,-0.01641488318930473,-4.739808624186759,-0.8228992002790261,0.7857142857142857,28,1.7641817791027175,False,zs_coex3_D375,regime-v5,5
-0.014010762224430928,-6.407353850989066,-0.7811988469921926,0.6785714285714286,28,-0.03186948608873241,-12.246099093711921,-0.9234942346130791,0.9642857142857143,28,1.911256874290088,True,zs_coex3_D375,regime-v5,10
-0.013723676515850103,-7.50600467265712,-0.7928080251029447,0.75,28,-0.034493303588679275,-16.14296426135915,-0.9456432296729065,0.9642857142857143,28,2.150673356248332,True,zs_coex3_D375,regime-v5,15
-0.01202869498307288,-7.605600645231494,-0.8139780926270529,0.6071428571428571,28,-0.033742044669215876,-18.083415173816338,-0.9531669186729288,0.9285714285714286,28,2.377644582897493,True,zs_coex3_D375,regime-v5,20
-0.03511444304081934,-8.10402039389316,-0.6249526498437772,0.8214285714285714,28,-0.012848138862768699,-2.5390101313175513,-0.31914156485963324,0.5714285714285714,28,0.31330253478024805,True,zs_coexmax_D375,regime-v5,5
-0.040974088349439275,-12.35354390819241,-0.8236526236465076,0.8928571428571429,28,-0.04694764762600889,-11.934804558655312,-0.8326510271697809,0.8928571428571429,28,0.9661037065437226,True,zs_coexmax_D375,regime-v5,10
-0.035295092688094803,-13.016839490148918,-0.9685681787382494,0.8571428571428571,28,-0.05936255988859673,-18.283655622225464,-0.8464739405331546,0.8928571428571429,28,1.4046155855315299,True,zs_coexmax_D375,regime-v5,15
-0.03071728943593119,-13.040226630397996,-0.9755647289129655,0.8571428571428571,28,-0.05607146276571556,-20.40751568977883,-0.7542976052987054,0.9285714285714286,28,1.5649663359536243,True,zs_coexmax_D375,regime-v5,20
-0.010023767781294046,-3.543405067854543,-0.5303703872572347,0.6428571428571429,28,-0.01724516350241162,-5.042862728320517,-0.7486762667741242,0.6785714285714286,28,1.4231685714029485,True,ps_coexmax_D375,regime-v5,5
-0.01871921561042922,-8.675211503762037,-0.7841748729560122,0.7857142857142857,28,-0.03282257116121079,-12.543218228416379,-0.8798496563181157,0.9285714285714286,28,1.4458688670560904,True,ps_coexmax_D375,regime-v5,10
-0.021203927764286812,-11.779388315767363,-0.930336883627373,0.8214285714285714,28,-0.038442793471380854,-17.65997002998624,-0.933381832127387,0.9285714285714286,28,1.4992264077369275,True,ps_coexmax_D375,regime-v5,15
-0.019375204743978164,-12.285133724529999,-0.8971902553584408,0.8214285714285714,28,-0.03443442722402851,-18.454913651879945,-0.958429886402674,0.9285714285714286,28,1.5022151216010462,True,ps_coexmax_D375,regime-v5,20
-0.006262963998712956,-2.1419986375415605,-0.6752841789716126,0.6785714285714286,28,-0.010136396815702886,-2.9674298548059506,-0.6241203414917499,0.6428571428571429,28,1.3853556219866523,True,zs_coex2_D500,regime-v5,5
-0.00831653357969836,-3.686937475878426,-0.7375295349457666,0.6428571428571429,28,-0.025532025200188324,-9.91958656585902,-0.8750309840639698,0.8214285714285714,28,2.6904678017344583,True,zs_coex2_D500,regime-v5,10
-0.010080319651765313,-5.307159160668606,-0.5350201213771716,0.6428571428571429,28,-0.03347623671583283,-15.62058137792773,-0.9746956707670845,0.8928571428571429,28,2.9433037346405526,True,zs_coex2_D500,regime-v5,15
-0.009414167533781909,-5.620585333731945,-0.343237427490234,0.6428571428571429,28,-0.03517116511740778,-18.828507931357006,-0.993880092055653,0.8928571428571429,28,3.3499194146840376,True,zs_coex2_D500,regime-v5,20
-0.011736281035413576,-4.084812494092393,-0.9181182209262426,0.6428571428571429,28,-0.01678419820300142,-4.87935886436555,-0.7863464109160372,0.75,28,1.1945123237412387,True,zs_taildep_D375,regime-v5,5
-0.015978170372900835,-7.297554603558186,-0.8564140121003583,0.6785714285714286,28,-0.026289621535033447,-10.003249180508433,-0.99034799546384,0.8928571428571429,28,1.3707672945168492,True,zs_taildep_D375,regime-v5,10
-0.015153207867233898,-8.290155375538859,-0.8316068194718698,0.75,28,-0.03210635246801352,-15.052866508464666,-0.9908989924759523,1.0,28,1.8157520367929452,True,zs_taildep_D375,regime-v5,15
