block,pair_a,pair_b,observed,expected,kappa,shared_leg
oos,AUDJPY,GBPNZD,0.2026879767526335,0.2539661847610948,-0.06873442860232852,none
oos,AUDJPY,GBPUSD,0.2422811478387214,0.2597062491943208,-0.023538090570986492,none
oos,AUDJPY,NZDCAD,0.19324373410824555,0.2527342295015087,-0.07961089312785974,none
oos,AUDJPY,NZDCHF,0.3189248092989466,0.26976389657275773,0.06732194217111463,none
oos,AUDJPY,NZDJPY,0.3966581910642935,0.2484439588341959,0.19720982084075805,JPY
oos,AUDJPY,NZDUSD,0.22738830366872503,0.25454937446307296,-0.0364357743677317,none
oos,AUDJPY,USDCAD,0.2898656011623683,0.2663960420155195,0.03199213811677028,none
oos,AUDJPY,USDCHF,0.28659644024700326,0.25767814763117447,0.038956542264716496,none
oos,AUDJPY,USDJPY,0.3112967671630948,0.2679333142367294,0.059234293500398265,JPY
oos,AUDNZD,AUDUSD,0.35161641845259717,0.2717600678400039,0.10965664897794787,AUD
oos,AUDNZD,CADCHF,0.3098438067562659,0.29098527261281787,0.026598226263852567,none
oos,AUDNZD,CADJPY,0.22520886305848165,0.26895983366690823,-0.059847560535397255,none
oos,AUDNZD,CHFJPY,0.25063567017798766,0.2688016335644937,-0.024844097334438375,none
oos,AUDNZD,EURAUD,0.2898656011623683,0.2742826931594883,0.021472421638560474,AUD
oos,AUDNZD,EURCAD,0.3011260443152924,0.279232548740871,0.030375255619791125,none
oos,AUDNZD,EURCHF,0.31819832909553214,0.2886717775371424,0.04150903988619892,none
oos,AUDNZD,EURGBP,0.2306574645840901,0.2831436141585265,-0.07321710542178705,none
oos,AUDNZD,EURJPY,0.2775154377043226,0.27473631447066493,0.003831879755056666,none
oos,AUDNZD,EURNZD,0.2742462767889575,0.2724366734489958,0.0024872107676731014,NZD
oos,AUDNZD,EURUSD,0.26334907373774064,0.27940763759483594,-0.022285226287294645,none
oos,AUDNZD,GBPAUD,0.3697784235379586,0.2811828037148393,0.12325194817400097,AUD
oos,AUDNZD,GBPCAD,0.30294224482382853,0.2922572067139648,0.015097346396497091,none
oos,AUDNZD,GBPCHF,0.2934980021794406,0.29160342730824046,0.002674455162877425,none
