N,B,D,R,A_bars,A_t,A_ratio,A_share,B_bars,B_t,B_ratio,B_share,agree
3,3,0.5,0.62,-0.2125962387984348,-0.8418529738695018,-0.02121912620463695,0.12025316455696203,-0.41829027196906843,-1.768264484127806,-0.05461359084259798,0.11430575035063113,True
3,3,0.5,0.75,-0.1957031220113521,-0.775710193528082,-0.01993507615214196,0.12053445850914206,-0.423384946891181,-1.7910907701671064,-0.05412368184453886,0.11442262739597943,True
3,3,0.5,1.0,-0.1957031220113521,-0.775710193528082,-0.01993507615214196,0.12053445850914206,-0.423384946891181,-1.7910907701671064,-0.05412368184453886,0.11442262739597943,True
3,3,1.0,0.5,-0.3246747128874645,-1.189892754646323,-0.08373164759451635,0.10140646976090015,-0.4112647224708361,-1.5913047202079342,-0.07961632397956264,0.09280037400654512,True
3,3,1.0,0.62,-0.3278664455224476,-1.204327142229195,-0.09078344891656531,0.10168776371308016,-0.4243063406048151,-1.641939058356202,-0.07936439911663129,0.09291725105189341,True
3,3,1.0,0.75,-0.31330967430480605,-1.1509465805449497,-0.086443721625859,0.10182841068917019,-0.4303929441019534,-1.6670092797106888,-0.07874642564996559,0.09303412809724171,True
3,3,1.0,1.0,-0.31330967430480605,-1.1509465805449497,-0.086443721625859,0.10182841068917019,-0.4303929441019534,-1.6670092797106888,-0.07874642564996559,0.09303412809724171,True
5,1,0.25,0.5,-0.8802028397565937,-3.9444219748181553,-0.12547741894256914,0.1631504922644163,-0.08875123017382336,-0.4434776130920579,-0.044421319459083786,0.16199158485273493,True
5,1,0.25,0.62,-0.8734184504373541,-3.9164154266706643,-0.13065217602626,0.16343178621659635,-0.09681939976009701,-0.48456482947569024,-0.04453440804111619,0.16257597007947638,True
5,1,0.25,0.75,-0.8734184504373541,-3.9164154266706643,-0.13065217602626,0.16343178621659635,-0.09681939976009701,-0.48456482947569024,-0.04453440804111619,0.16257597007947638,True
5,1,0.25,1.0,-0.8715756739707476,-3.9107590588687327,-0.13109737469233684,0.16357243319268636,-0.09053408806484597,-0.4532172029313512,-0.04111299320492556,0.16269284712482468,True
