Date,EURGBP,EURAUD,EURNZD,EURUSD,EURCAD,EURCHF,EURJPY,GBPAUD,GBPNZD,GBPUSD,GBPCAD,GBPCHF,GBPJPY,AUDNZD,AUDUSD,AUDCAD,AUDCHF,AUDJPY,NZDUSD,NZDCAD,NZDCHF,NZDJPY,USDCAD,USDCHF,USDJPY,CADCHF,CADJPY,CHFJPY
2025-03-21,broken,broken,broken,broken,broken,broken,broken,broken,range,broken,broken,range,broken,trending,range,drifting,broken,broken,range,broken,range,broken,range,broken,broken,broken,broken,broken
2025-03-24,broken,broken,broken,broken,broken,range,broken,broken,range,broken,broken,range,broken,trending,drifting,drifting,broken,broken,range,broken,range,broken,range,broken,broken,broken,broken,broken
2025-03-25,broken,broken,broken,broken,broken,range,broken,broken,range,broken,broken,range,broken,trending,drifting,drifting,broken,broken,range,broken,range,broken,drifting,broken,broken,broken,broken,broken
2025-03-26,broken,broken,broken,broken,broken,range,broken,broken,range,broken,broken,range,broken,trending,range,drifting,range,broken,range,broken,range,broken,range,range,range,broken,broken,broken
2025-03-27,broken,broken,broken,broken,broken,range,broken,broken,range,broken,broken,range,broken,broken,range,drifting,range,broken,range,drifting,range,broken,drifting,range,drifting,broken,drifting,broken
2025-03-28,drifting,drifting,drifting,range,range,range,broken,range,range,broken,drifting,range,broken,broken,range,range,range,broken,range,range,range,broken,range,range,drifting,range,drifting,broken
2025-03-31,drifting,range,drifting,range,range,range,broken,range,drifting,broken,drifting,range,broken,broken,range,range,range,broken,range,range,drifting,broken,drifting,range,range,drifting,broken,broken
2025-04-01,drifting,drifting,drifting,range,range,range,broken,drifting,drifting,broken,range,range,broken,broken,drifting,drifting,drifting,broken,drifting,drifting,drifting,broken,drifting,drifting,range,range,broken,broken
2025-04-02,range,range,drifting,range,range,range,broken,range,drifting,broken,range,range,broken,broken,range,range,range,broken,drifting,drifting,drifting,broken,range,range,range,range,broken,broken
2025-04-03,range,drifting,drifting,range,range,range,broken,drifting,drifting,drifting,drifting,drifting,broken,broken,range,range,range,range,range,range,range,range,range,range,range,range,broken,broken
2025-04-04,range,drifting,range,drifting,range,drifting,range,range,range,drifting,range,drifting,broken,broken,drifting,drifting,drifting,drifting,drifting,range,drifting,drifting,drifting,drifting,drifting,drifting,broken,broken
2025-04-07,drifting,drifting,drifting,drifting,range,drifting,drifting,drifting,drifting,range,drifting,drifting,broken,broken,drifting,drifting,drifting,drifting,drifting,drifting,drifting,drifting,drifting,drifting,drifting,drifting,broken,broken
2025-04-08,drifting,broken,drifting,range,range,drifting,range,drifting,drifting,drifting,drifting,broken,broken,broken,drifting,trending,broken,drifting,drifting,drifting,broken,drifting,drifting,broken,range,drifting,broken,broken
2025-04-09,broken,broken,broken,range,range,broken,drifting,trending,trending,drifting,drifting,broken,broken,broken,broken,trending,broken,broken,broken,trending,broken,broken,range,broken,drifting,broken,broken,broken
2025-04-10,broken,broken,broken,range,drifting,broken,drifting,broken,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,broken,trending,broken,broken,range,broken,drifting,broken,broken,broken
2025-04-11,broken,broken,broken,drifting,drifting,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,drifting,broken,drifting,broken,broken,broken
2025-04-14,broken,broken,broken,drifting,drifting,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,drifting,broken,broken,broken,drifting,trending
2025-04-15,broken,broken,broken,trending,drifting,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,drifting,broken,broken,broken,range,trending
2025-04-16,broken,broken,broken,trending,broken,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,range,trending
2025-04-17,broken,broken,broken,trending,broken,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,range,broken
2025-04-18,broken,broken,broken,trending,broken,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,range,broken
2025-04-21,broken,broken,broken,trending,broken,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,range,broken
2025-04-22,broken,broken,broken,trending,broken,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,drifting,broken
2025-04-23,broken,broken,broken,trending,broken,broken,range,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,drifting,broken
2025-04-24,broken,broken,broken,trending,broken,broken,range,range,broken,broken,range,broken,broken,broken,drifting,range,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,range,broken
2025-04-25,broken,broken,broken,broken,broken,broken,range,range,broken,broken,range,broken,broken,broken,range,drifting,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,range,broken
2025-04-28,broken,range,range,broken,broken,broken,drifting,range,broken,broken,range,broken,drifting,broken,range,range,drifting,drifting,broken,broken,drifting,drifting,broken,broken,broken,broken,range,broken
2025-04-29,broken,drifting,range,broken,broken,broken,range,range,broken,broken,drifting,broken,drifting,broken,drifting,drifting,broken,drifting,broken,broken,drifting,drifting,broken,broken,broken,broken,range,broken
2025-04-30,drifting,range,range,broken,broken,range,range,drifting,broken,broken,drifting,range,broken,broken,range,range,broken,range,broken,broken,range,range,broken,broken,broken,broken,range,range
2025-05-01,drifting,drifting,range,broken,broken,range,range,range,broken,broken,range,range,broken,broken,range,range,broken,range,broken,broken,range,range,broken,range,broken,range,range,range
2025-05-02,drifting,drifting,range,broken,broken,range,drifting,range,broken,broken,range,range,broken,broken,range,range,broken,drifting,broken,broken,range,drifting,broken,drifting,broken,drifting,drifting,drifting
2025-05-05,drifting,drifting,range,broken,broken,range,drifting,drifting,broken,broken,range,range,broken,broken,drifting,drifting,broken,drifting,broken,broken,range,drifting,broken,range,broken,drifting,drifting,drifting
2025-05-06,drifting,drifting,drifting,broken,broken,range,range,drifting,range,broken,range,range,broken,broken,drifting,drifting,broken,drifting,broken,broken,range,drifting,broken,range,broken,range,drifting,broken
