c1,c2,vol,base,exit_ind,slice,mode,ex_n,ex_total_R,ex_expectancy_R,ex_win_rate,ex_profit_factor,ex_sharpe,ex_sortino,ex_max_dd_R,ex_ulcer_R,ex_calmar,ex_max_trade_share,cr_n,cr_total_R,cr_expectancy_R,cr_win_rate,cr_profit_factor,cr_sharpe,cr_sortino,cr_max_dd_R,cr_ulcer_R,cr_calmar,cr_max_trade_share,all_total_R,crisis_share_of_total_R,risk_atr_len,risk_atr_mult,risk_tp_mult,risk_trail_mult,risk_trail_arm,risk_be_pct,rank_R,rank_S,score,new_rank
trend_direction_force_index_signals,lemantrend_signals,damiani_volatmeter_volume_signals,ema_baseline,adx_dmi_exit,trend,B,78,43.31959966308399,0.5553794828600511,0.5641025641025641,4.153404823614323,8.885979678559288,65.93394402301362,3.765007243564981,0.9106138863615416,11.505847628082083,0.0797337452090068,0,0.0,,,,,,,,,,43.31959966308399,0.0,22,1.0,2.75,0.7000000000000001,1.0,0.01,26.0,1.0,13.5,11
ssl_channel_signals,vortex_signals,variance_volume_signals,ema_baseline,adx_dmi_exit,trend,B,282,73.29247988306267,0.2599024109328463,0.3865248226950354,2.137187243919923,4.26663287092694,28.78167250045266,8.867271859889815,2.6896715171080383,8.265504998735135,0.0629809821066073,16,9.654665916376976,0.6034166197735611,0.5,3.413666479094238,6.038168869683318,,3.0000000000000036,1.2633135810874814,3.2182219721256553,0.5350505277787873,82.94714579943964,0.1163953964096761,26,1.0,2.25,1.4,1.25,0.01,7.0,20.0,13.5,12
kase_peak_oscillator_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,220,61.30728903293005,0.2786694956042275,0.4227272727272727,2.2354624101281457,4.1792051440510125,31.8539472842397,6.737047262340834,2.004796575034382,9.100023592773256,0.1202872418135763,10,93.2773626972286,9.32773626972286,0.4,53.00485554127313,5.215420233821315,945.8270921916156,1.793627955051221,0.9199430186233112,52.004855541273535,0.9657838251861428,154.58465173015864,0.6034063644303614,4,1.0,2.85,1.75,1.75,0.05,13.0,15.0,14.0,13
polychromatic_momentum_signals,lemantrend_signals,chaikin_volatility_volume_signals,frama_baseline,adx_dmi_exit,trend,B,264,72.4331173262112,0.2743678686598909,0.4053030303030303,2.3986080206763023,4.827808405707141,28.42582640962826,7.336759404325344,2.0349341998658463,9.872630862545211,0.0477671780495439,8,0.0108593357326767,0.0013574169665845,0.25,1.0070095829489398,0.0438600209963436,0.1786954694938089,1.5492128150533149,0.7658855773635083,0.0070095829489397,71.83091991951191,72.44397666194388,0.0001498997740467,10,1.0,2.95,1.25,1.0,0.14,9.0,22.0,15.5,14
lemantrend_signals,aroon_signals,volatility_ratio_volume_signals,kama_baseline,adx_dmi_exit,trend,B,275,72.73505612897813,0.2644911131962841,0.36,2.3552930628036863,4.781711813671821,27.05775088622195,9.448120197734728,2.4738622180083794,7.698362701441607,0.0489441181817294,13,2.346612063017018,0.1805086202320783,0.5384615384615384,1.7822040210056722,3.565007183104927,,2.0000000000000036,0.7721099961494151,1.173306031508507,0.613001306050469,75.08166819199515,0.0312541279319524,21,1.0,2.4,0.55,2.0,0.01,8.0,23.0,15.5,15
kuskus_starlight_signals,center_of_gravity_signals,chaikin_volatility_volume_signals,ema_baseline,adx_dmi_exit,trend,B,386,89.80213230325404,0.2326480111483265,0.3367875647668393,1.9553501985730983,3.8915702078071166,23.959376269882256,13.364961583134448,4.049573896714562,6.719221132410691,0.0430785842892551,12,74.0466186205601,6.170551551713341,0.5,31.39499586375071,4.978090167116749,672.82556539221,1.0,0.4909171431679516,74.0466186205601,0.9260535484987732,163.84875092381412,0.4519205560193136,26,1.0,2.85,0.5,2.0,0.05,2.0,29.0,15.5,16
waddah_attar_explosion_signals,ssl_channel_signals,waddah_attar_explosion_volume_signals,fantail_vma,adx_dmi_exit,chop,B,97,53.63961379081495,0.5529857091836593,0.4536082474226804,2.2385517804437916,5.160080875661405,31.13866617374187,6.957731146090989,2.238550551407581,7.709354193852532,0.0559288143218085,4,4.000000000000006,1.0000000000000016,0.5,3.0000000000000004,6.873863542433761,,2.0000000000000027,1.1180339887498951,2.0000000000000004,0.7500000000000007,57.63961379081496,0.0693967175858735,17,1.0,3.0,1.5,2.0,0.05,17.0,16.0,16.5,17
bears_bulls_impulse_signals,donchian_breakout_signals,variance_volume_signals,mcginley_dynamic_index,adx_dmi_exit,chop,B,112,49.46663686922142,0.4416664006180483,0.4107142857142857,1.841706202235882,4.28218703430139,33.332982161300244,5.098265031556355,1.7806231341901164,9.702641303078876,0.0495283317213833,4,6.350000000000005,1.5875000000000012,0.75,7.349999999999979,14.609148543704457,,1.0000000000000044,0.5000000000000022,6.3499999999999766,0.3858267716535445,55.81663686922141,0.1137653638086092,16,1.0,2.45,1.5,2.0,0.05,22.0,13.0,17.5,18
ssl_channel_signals,chandelier_exit_signals,variance_volume_signals,kama_baseline,adx_dmi_exit,trend,B,196,51.85759387353531,0.2645795605792618,0.3724489795918367,2.0747844840330525,4.195914382385583,29.914527620606645,9.177927769294772,2.928854115016847,5.65025081664159,0.0842889212357649,22,91.77474885430452,4.171579493377479,0.4545454545454545,16.972928166489705,4.318545957464292,1337.7029941031033,3.745643372192887,1.5222935634073902,24.501731674624164,0.7876781550760099,143.63234272783987,0.6389560116568097,20,1.0,3.0,1.5,1.9,0.05,19.0,18.0,18.5,19
waddah_attar_explosion_signals,volatility_quality_signals,variance_volume_signals,fantail_vma,adx_dmi_exit,chop,B,110,57.96817289768547,0.5269833899789588,0.4272727272727272,2.2709000052979347,5.332862503225072,27.003355750777647,4.80104153254528,1.810032977942586,12.074082780732276,0.0448521985433118,3,4.419105873089166,1.4730352910297222,0.6666666666666666,6.659033306564754,11.979604452126749,,0.0,0.0,,0.5883543129919339,62.387278770774635,0.0708334448970917,26,1.0,2.6,1.5,2.0,0.05,14.0,24.0,19.0,20
