si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,source,group,scorable,was_independent
0.018511973482129518,7.966617095122345,0.34064698588546616,0.6428571428571429,28,-0.028638361331648154,-15.499424012604875,-0.8000953189276399,0.9285714285714286,28,1.9455465007970045,False,ts_dd0.02_ol,HYG,credit,True,True
0.0029278516318656245,1.6343206722136547,0.3436468746111866,0.5714285714285714,28,0.0227049392848562,12.227038135874526,0.9213558458261628,0.7142857142857143,28,7.481419248838875,True,ra_oc750_fl_8_pl,HYG,credit,True,True
0.0047200174119415295,2.7269333091891266,0.30536172366444025,0.6428571428571429,28,0.023823827854166035,12.928403783223533,0.930339280232312,0.7857142857142857,28,4.741004754189565,True,ra_ep750_fl_8_pl,HYG,credit,True,False
-0.007836331832074966,-4.4521034630731835,-0.237902823083837,0.5714285714285714,28,0.007133358240867388,3.8311753059645297,0.3839706509535975,0.5714285714285714,28,0.8605315078010246,False,ts_dd0.02_ol,LQD,credit,True,True
0.007432483815023483,4.193412324140213,-0.08894367922042233,0.7142857142857143,28,0.031171178089054036,17.03681203553633,0.7488071830816401,0.8214285714285714,28,4.062756227776727,True,ra_oc750_fl_8_pl,LQD,credit,True,True
0.00394514436116794,2.244237576657202,-0.14705752995334728,0.5714285714285714,28,0.0259280387038541,14.044580987207944,0.8163301246154544,0.8214285714285714,28,6.258063376751487,True,ra_ep750_fl_8_pl,LQD,credit,True,False
-0.01511125726032031,-8.822103370787165,-0.31537514103876546,0.8214285714285714,28,0.001997499707128314,1.06053452241762,0.06925398680735154,0.6071428571428571,28,0.1202133411777278,False,ts_dd0.02_ol,TLT,bonds,True,True
0.017271695731630676,9.706923442584602,0.6960702647994235,0.6785714285714286,28,0.021122484652287887,11.575940307782323,0.7309123686308308,0.8214285714285714,28,1.1925447209152058,True,ra_oc750_fl_8_pl,TLT,bonds,True,True
0.015933593533866586,9.161825990381697,0.34989152611238317,0.75,28,0.02723665262767269,14.782560700627581,0.9838264959324303,0.8214285714285714,28,1.6134950299368995,True,ra_ep750_fl_8_pl,TLT,bonds,True,False
0.00569862723571149,2.9952288026878713,0.2043229054708608,0.5714285714285714,28,0.0014387355171545102,0.7681780312992871,0.15574475806157506,0.5714285714285714,28,0.2564672290176751,True,ts_dd0.02_ol,SHY,bonds,True,True
0.015942424832690927,9.16704758670172,0.09757504088573098,0.7857142857142857,28,0.02566214449056864,13.998627391877548,0.8478010229288174,0.8214285714285714,28,1.527059531378981,True,ra_oc750_fl_8_pl,SHY,bonds,True,True
-0.002184685107859463,-1.2284817821429128,-0.1328306054585474,0.5,28,0.02667820444016164,14.417292509952645,0.8925406198397084,0.8214285714285714,28,11.735861873998422,False,ra_ep750_fl_8_pl,SHY,bonds,True,False
-0.011397195215313405,-6.354739983731689,-0.366545250924436,0.7857142857142857,28,-0.009400639159464125,-4.988878964374671,-0.6763698379693686,0.6428571428571429,28,0.7850642161829343,True,ts_dd0.02_ol,IEF,bonds,True,True
