date,pair,state,age,chg60,typical,rel_age,oos
1999-04-05,GBPUSD,volatile chop (choppy+large),3.0,1.0,3.0,1.0,False
1999-04-05,NZDCAD,dead (choppy+small),3.0,1.0,2.0,1.5,False
1999-04-05,NZDCHF,dead (choppy+small),1.0,2.0,3.0,0.3333333333333333,False
1999-04-05,NZDJPY,dead (choppy+small),3.0,1.0,3.0,1.0,False
1999-04-05,NZDUSD,dead (choppy+small),3.0,1.0,3.0,1.0,False
1999-04-05,USDCAD,drifting (straight+small),3.0,1.0,2.5,1.2,False
1999-04-05,USDCHF,dead (choppy+small),3.0,1.0,2.0,1.5,False
1999-04-05,USDJPY,dead (choppy+small),3.0,1.0,3.0,1.0,False
1999-04-06,AUDCAD,dead (choppy+small),4.0,1.0,3.0,1.3333333333333333,False
1999-04-06,AUDCHF,dead (choppy+small),2.0,2.0,2.0,1.0,False
1999-04-06,AUDJPY,dead (choppy+small),4.0,1.0,3.0,1.3333333333333333,False
1999-04-06,AUDNZD,dead (choppy+small),4.0,1.0,3.0,1.3333333333333333,False
1999-04-06,AUDUSD,dead (choppy+small),4.0,1.0,2.0,2.0,False
1999-04-06,CADCHF,drifting (straight+small),4.0,1.0,2.0,2.0,False
1999-04-06,CADJPY,dead (choppy+small),4.0,1.0,2.0,2.0,False
1999-04-06,CHFJPY,dead (choppy+small),1.0,2.0,3.0,0.3333333333333333,False
1999-04-06,EURAUD,dead (choppy+small),2.0,2.0,3.0,0.6666666666666666,False
1999-04-06,EURCAD,drifting (straight+small),4.0,1.0,2.0,2.0,False
1999-04-06,EURCHF,dead (choppy+small),4.0,1.0,3.0,1.3333333333333333,False
1999-04-06,EURGBP,trending (straight+large),1.0,2.0,2.0,0.5,False
1999-04-06,EURJPY,dead (choppy+small),2.0,2.0,2.0,1.0,False
1999-04-06,EURNZD,dead (choppy+small),4.0,1.0,3.0,1.3333333333333333,False
1999-04-06,EURUSD,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-06,GBPAUD,dead (choppy+small),2.0,2.0,3.0,0.6666666666666666,False
1999-04-06,GBPCAD,drifting (straight+small),3.0,2.0,2.0,1.5,False
1999-04-06,GBPCHF,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-06,GBPJPY,dead (choppy+small),2.0,2.0,3.0,0.6666666666666666,False
1999-04-06,GBPNZD,dead (choppy+small),4.0,1.0,2.0,2.0,False
1999-04-06,GBPUSD,volatile chop (choppy+large),4.0,1.0,3.0,1.3333333333333333,False
1999-04-06,NZDCAD,dead (choppy+small),4.0,1.0,2.0,2.0,False
1999-04-06,NZDCHF,drifting (straight+small),1.0,3.0,2.0,0.5,False
1999-04-06,NZDJPY,dead (choppy+small),4.0,1.0,3.0,1.3333333333333333,False
1999-04-06,NZDUSD,dead (choppy+small),4.0,1.0,3.0,1.3333333333333333,False
1999-04-06,USDCAD,drifting (straight+small),4.0,1.0,2.5,1.6,False
1999-04-06,USDCHF,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-06,USDJPY,dead (choppy+small),4.0,1.0,3.0,1.3333333333333333,False
1999-04-07,AUDCAD,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-07,AUDCHF,dead (choppy+small),3.0,2.0,2.0,1.5,False
1999-04-07,AUDJPY,dead (choppy+small),5.0,1.0,3.0,1.6666666666666667,False
1999-04-07,AUDNZD,dead (choppy+small),5.0,1.0,3.0,1.6666666666666667,False
1999-04-07,AUDUSD,dead (choppy+small),5.0,1.0,2.0,2.5,False
1999-04-07,CADCHF,dead (choppy+small),1.0,2.0,2.0,0.5,False
1999-04-07,CADJPY,dead (choppy+small),5.0,1.0,2.0,2.5,False
