signal,batch,ao,to,so,n_back,back_eff,against_eff,back_rank,against_rank,strong_eff,weak_eff,backers,strongest
zc_cx4_m40,trend-duration,0.857,-12.75,-0.02354,24,0.22185457936134542,0.2201840031975116,14.208333333333334,16.25,0.2188676476838605,0.22257835590522917,AUDCHF AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD EURUSD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,EURCHF CADCHF USDCHF EURCAD GBPNZD GBPCHF EURNZD
zd_cx2.5_x30,trend-duration,0.786,-15.64,-0.02825,22,0.22212210395267748,0.21975993841723854,13.909090909090908,16.666666666666668,0.22137714924931234,0.22602661510082234,CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD EURUSD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,GBPCAD GBPCHF GBPUSD EURNZD GBPNZD USDCAD GBPAUD
ra_cx1.5_m750,trend-duration,0.821,-13.0,-0.02364,23,0.2217342873523017,0.2210714616718794,14.347826086956522,15.2,0.22101553113023598,0.2262900797451481,AUDCAD AUDJPY AUDNZD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,GBPCHF EURCHF NZDJPY CADCHF USDCHF NZDCHF NZDUSD
ra_cx2_x75,trend-duration,0.857,-16.81,-0.03092,24,0.22144511007317588,0.22264081892652898,14.541666666666666,14.25,0.21854684112400657,0.22295714619094933,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURCAD EURCHF EURJPY EURNZD EURUSD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,NZDJPY EURCAD NZDCHF NZDUSD CADCHF EURNZD NZDCAD
ra_cx3_x40,trend-duration,0.857,-15.72,-0.02921,24,0.22144822963049948,0.2226221015825872,14.625,13.75,0.21780471530814105,0.22439011148723642,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY EURAUD EURCAD EURCHF EURNZD EURUSD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,GBPNZD CADCHF EURCAD GBPCAD EURCHF GBPJPY GBPCHF
rd_cx3_m150_pl,trend-duration,0.786,-9.92,-0.01917,22,0.22100441047771416,0.22385814782543736,14.954545454545455,12.833333333333334,0.22326967490868763,0.21655394879069628,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURCAD EURCHF EURJPY EURNZD GBPAUD GBPCHF GBPJPY GBPNZD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,NZDJPY GBPAUD CADJPY USDCAD AUDUSD GBPJPY CADCHF
cx2_x10_ph,trend-duration,0.857,-14.68,-0.02802,24,0.22242742373085253,0.2167469369804691,13.791666666666666,18.75,0.21974294855592863,0.2208921011614256,AUDCHF AUDJPY AUDNZD AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURNZD EURUSD GBPAUD GBPCAD GBPCHF GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,EURCHF USDCAD GBPCAD EURCAD GBPAUD NZDUSD CADCHF
cx2_s10_ph,trend-duration,0.786,-13.83,-0.02669,22,0.22194520947931776,0.22040855148622418,14.045454545454545,16.166666666666668,0.22035501370158816,0.22203183015283104,AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD EURUSD GBPAUD GBPCAD GBPCHF GBPJPY GBPUSD NZDCHF NZDJPY NZDUSD USDCAD USDJPY,USDCAD GBPCAD NZDJPY EURCHF GBPAUD GBPCHF EURCAD
cx2_x15_ph,trend-duration,0.786,-15.27,-0.0293,22,0.22159619231560412,0.22168828108650754,14.545454545454545,14.333333333333334,0.21789051685889743,0.2234632729532863,AUDCHF AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURNZD EURUSD GBPAUD GBPCAD GBPCHF GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,EURCHF USDCAD GBPCAD NZDCHF NZDUSD CADCHF EURCAD
cx2_s25_ph,trend-duration,0.857,-16.83,-0.03311,24,0.22123112552517554,0.22392472621453097,14.916666666666666,12.0,0.21867370637927278,0.221965238920839,AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURNZD EURUSD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDJPY,NZDJPY USDCAD EURCHF GBPCAD GBPCHF CADCHF EURCAD
