pair,day,level,size,dir,r,pnl,base_ccy,quote_ccy
EURCAD,2020-08-14,1,0.9733502390491228,-1,0.03382759372026896,0.03292609643408039,EUR,CAD
EURNZD,2020-08-14,1,0.9733502390491228,1,0.195804195804196,0.1905860607928354,EUR,NZD
GBPAUD,2020-08-14,2,1.9467004780982455,1,0.01881144329581851,0.03662024565768793,GBP,AUD
NZDCAD,2020-08-14,2,1.9467004780982455,-1,0.3062500000000007,0.596177021417589,NZD,CAD
NZDCHF,2020-08-14,3,2.9200507171473684,-1,0.19545454545454577,0.5707371856242592,NZD,CHF
EURCAD,2020-08-17,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURNZD,2020-08-17,1,1.0,1,0.195804195804196,0.195804195804196,EUR,NZD
GBPAUD,2020-08-17,2,2.0,1,0.01881144329581851,0.03762288659163702,GBP,AUD
GBPCHF,2020-08-17,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDCAD,2020-08-17,2,2.0,-1,0.3062500000000007,0.6125000000000014,NZD,CAD
NZDCHF,2020-08-17,2,2.0,-1,0.20681818181818212,0.41363636363636425,NZD,CHF
AUDCAD,2020-08-18,2,2.0,1,-0.16787870277415817,-0.33575740554831635,AUD,CAD
EURCAD,2020-08-18,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
GBPAUD,2020-08-18,2,2.0,1,0.01881144329581851,0.03762288659163702,GBP,AUD
GBPCHF,2020-08-18,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDCAD,2020-08-18,2,2.0,-1,0.3062500000000007,0.6125000000000014,NZD,CAD
NZDCHF,2020-08-18,1,1.0,-1,0.15909090909090878,0.15909090909090878,NZD,CHF
USDJPY,2020-08-18,1,1.0,-1,-0.49999999999999933,-0.49999999999999933,USD,JPY
AUDCAD,2020-08-19,2,2.0,1,-0.16787870277415817,-0.33575740554831635,AUD,CAD
EURCAD,2020-08-19,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
GBPCHF,2020-08-19,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDCAD,2020-08-19,1,1.0,-1,0.23750000000000082,0.23750000000000082,NZD,CAD
NZDCHF,2020-08-19,1,1.0,-1,0.15909090909090878,0.15909090909090878,NZD,CHF
USDCHF,2020-08-19,1,1.0,1,-0.500000000000001,-0.500000000000001,USD,CHF
AUDCHF,2020-08-20,2,2.0,-1,-0.006118223291741189,-0.012236446583482379,AUD,CHF
EURCAD,2020-08-20,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
GBPCHF,2020-08-20,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
GBPUSD,2020-08-20,1,1.0,1,-0.5000000000000039,-0.5000000000000039,GBP,USD
NZDCAD,2020-08-20,1,1.0,-1,0.23750000000000082,0.23750000000000082,NZD,CAD
NZDCHF,2020-08-20,1,1.0,-1,0.15909090909090878,0.15909090909090878,NZD,CHF
USDCHF,2020-08-20,1,1.0,1,-0.500000000000001,-0.500000000000001,USD,CHF
USDJPY,2020-08-20,1,1.0,1,-0.12499999999999943,-0.12499999999999943,USD,JPY
AUDCHF,2020-08-21,4,4.0,-1,-0.053717475903379885,-0.21486990361351954,AUD,CHF
EURCAD,2020-08-21,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURGBP,2020-08-21,1,1.0,-1,0.2562500000000006,0.2562500000000006,EUR,GBP
GBPCHF,2020-08-21,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
GBPJPY,2020-08-21,1,1.0,-1,-0.3333333333333368,-0.3333333333333368,GBP,JPY
GBPUSD,2020-08-21,1,1.0,1,-0.5000000000000039,-0.5000000000000039,GBP,USD
USDJPY,2020-08-21,1,1.0,1,-0.12499999999999943,-0.12499999999999943,USD,JPY
AUDCHF,2020-08-24,4,4.0,-1,-0.053717475903379885,-0.21486990361351954,AUD,CHF
EURCAD,2020-08-24,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURGBP,2020-08-24,1,1.0,-1,0.2562500000000006,0.2562500000000006,EUR,GBP
GBPCHF,2020-08-24,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
GBPJPY,2020-08-24,1,1.0,-1,-0.3333333333333368,-0.3333333333333368,GBP,JPY
USDJPY,2020-08-24,1,1.0,1,-0.12499999999999943,-0.12499999999999943,USD,JPY
AUDCHF,2020-08-25,4,4.0,-1,-0.053717475903379885,-0.21486990361351954,AUD,CHF
EURCAD,2020-08-25,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURGBP,2020-08-25,2,2.0,-1,0.2739583333333336,0.5479166666666672,EUR,GBP
GBPCHF,2020-08-25,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
GBPJPY,2020-08-25,1,1.0,-1,-0.3333333333333368,-0.3333333333333368,GBP,JPY
USDJPY,2020-08-25,1,1.0,1,-0.12499999999999943,-0.12499999999999943,USD,JPY
AUDCHF,2020-08-26,2,2.0,-1,-0.10131672851501858,-0.20263345703003716,AUD,CHF
EURCAD,2020-08-26,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURGBP,2020-08-26,2,2.0,-1,0.2739583333333336,0.5479166666666672,EUR,GBP
