L,churn,duration,separation,lag21,lag63
82,90.4382927236315,8.0,0.034772931785501504,57.0,38.0
83,89.15270504287592,8.0,0.031061938985946114,58.0,40.0
84,87.939777137849,8.0,0.027393128380855142,59.0,41.0
85,86.56475007826359,8.0,0.02749361903640482,60.0,42.0
86,85.55982299407196,8.0,0.02722614916242927,61.0,43.0
87,84.78946159787895,8.0,0.02906737289333805,61.0,44.0
88,83.690023802564,9.0,0.033083660032300316,62.0,46.0
89,82.70511829932967,9.0,0.028731363018454498,63.0,47.0
90,82.21073517126149,9.0,0.03040413989717028,63.0,48.0
91,81.12088233451006,9.0,0.028526614249654164,64.0,49.0
92,79.32561734843104,9.0,0.02997354160723703,66.0,51.0
93,78.59545748970936,9.0,0.03333401164444608,66.0,52.0
94,77.54116860319319,9.0,0.0328185181441224,67.0,53.0
95,76.30368899571533,9.0,0.03310289620996987,68.0,53.0
96,75.67205986872361,9.0,0.03336186894861792,68.0,55.0
97,74.78936254730196,10.0,0.0369535177220274,69.0,56.0
98,73.67116928738709,10.0,0.0328360123253206,70.0,57.0
99,73.00227952401866,10.0,0.03575988123528928,70.0,58.0
100,72.24430035557415,10.0,0.03232489801370034,71.0,58.0
101,71.50178859067422,10.0,0.03680837537853543,72.0,60.0
102,70.93166792200184,10.0,0.03740842046613954,73.0,61.0
103,70.76942392600807,10.0,0.03486548455484387,73.0,61.0
104,69.75430078272153,10.0,0.0357044534525576,74.0,63.0
105,68.94819466248038,10.0,0.04058740572873179,75.0,64.0
106,68.37213197119411,10.0,0.03926969712194597,76.0,65.0
107,67.45566466363769,10.0,0.037322082395916695,77.0,66.0
108,66.84256816182938,11.0,0.0338522405355528,77.0,66.0
109,66.63769451483863,11.0,0.03655779039598955,78.0,67.0
110,66.63699204021785,11.0,0.036237743738970846,78.0,66.0
111,65.81924454779713,11.0,0.03254406913263899,79.0,67.0
112,65.22650127812932,11.0,0.03451992501714471,80.0,69.0
113,65.03698736352396,11.0,0.031041843293499793,80.0,70.0
114,63.63703051643193,11.0,0.02988556672442369,81.0,71.0
115,63.1642385494183,11.0,0.03260260225204928,82.0,71.0
116,62.94813199714873,11.0,0.030542853113812246,83.0,72.0
