signal,shift,si,so,to,ao,mo
conf_4of4,4250,0.001416391270892261,-0.005895813224713434,-2.0760775053062694,0.6785714285714286,
conf_3of4_and_persist,4250,-0.003720227150626727,-0.005514655161577662,-1.2506895474380177,0.75,
conf_3of4_and_mtf,4250,0.0022159090019481706,-0.009054580856078697,-2.8439434881729233,0.75,
conf_all_three,4250,-0.0017052738264450376,-0.0055294389727968875,-1.2055455155032124,0.6785714285714286,
eff_trail_5,5208,-0.002806290829766106,0.0018303529258819062,0.9829066425809393,0.5357142857142857,0.36817598300679966
eff_trail_10,5208,-0.005827418189469802,0.002910486939310203,1.5704122611361666,0.6428571428571429,0.80490295055567
eff_trail_15,5208,-0.00582931776432738,-0.0035579163443527906,-1.9220436057769534,0.5,-0.282792073339773
eff_trail_20,5208,-0.004661389891969625,-0.004551997421044007,-2.474651364003337,0.5714285714285714,-0.5296802374959271
persist_ratio,5208,-0.002610717715322397,0.0002545209611603261,0.13719068744723503,0.5,-0.3132463612620888
persist_log,5208,-0.00254221340201094,0.00012622495897798847,0.0680810567746593,0.5,-0.35173619416815094
persist_diff,5208,-5.8649460581650104e-05,-0.002318348158230288,-1.2462654629374827,0.5,-0.47687862836452755
ts_slope,5208,-0.0002943891512368624,-0.0038206216786838554,-2.0644124588974626,0.5714285714285714,-0.5795651374327431
ts_curve,5208,0.0033123287705064397,-0.001620786799896412,-0.8727125355110804,0.5714285714285714,-0.6380851565497735
ts_disp,5208,0.004094107176785544,0.0009722846087150128,0.5229839541325297,0.5,0.5794936248653788
xh_agree,5208,0.0003192815477481778,0.0028500948993923575,1.1937129588435786,0.5714285714285714,
xh_ends,5208,-0.0009746120945553494,-0.0016486809320075877,-1.136861691732124,0.6428571428571429,
mtf_agree,5208,-0.00012235641033348153,0.0027155427451332034,0.9611383621255029,0.5357142857142857,
conf_2of4,5208,-0.0023706447606006917,0.00035103388023065084,0.19243819787822264,0.42857142857142855,
conf_3of4,5208,-0.0024931099708546075,-0.0002656671309551715,-0.15808842944609025,0.6071428571428571,
conf_4of4,5208,-0.004712408356634847,-0.00029304015029808984,-0.1215795826365874,0.42857142857142855,
conf_3of4_and_persist,5208,-0.002308719333020951,-0.0032614832128846755,-1.2363301210271926,0.7142857142857143,
conf_3of4_and_mtf,5208,-0.0012726104449946804,-0.002036273369752873,-0.8529423260261565,0.6071428571428571,
conf_all_three,5208,-0.002259411451165334,-0.005864958962775256,-1.611753430852948,0.6428571428571429,
eff_trail_5,3153,0.0015060472393638447,0.0021165326566338627,1.1181444219490653,0.4642857142857143,0.9000872118719326
