date,pair,trend_score,chop_score,shape2,activity,scale_28,combined2,settling,m_fail,m_retr,m_space,m_panel,sample
1999-04-12,CADCHF,,,,medium,4.14357,,,,,,,is
1999-04-12,CADJPY,,,,weak,3.73193,,,,,,,is
1999-04-12,CHFJPY,,,,weak,3.86503,,,,,,,is
1999-04-13,EURGBP,,,,strong,4.3639,,,,,,,is
1999-04-13,EURAUD,,,,medium,4.24805,,,,,,,is
1999-04-13,EURNZD,,,,weak,3.89829,,,,,,,is
1999-04-13,EURUSD,,,,medium,4.32173,,,,,,,is
1999-04-13,EURCAD,,,,medium,4.06895,,,,,,,is
1999-04-13,EURCHF,,,,weak,3.0971,,,,,,,is
1999-04-13,EURJPY,,,,weak,3.49598,,,,,,,is
1999-04-13,GBPAUD,,,,weak,3.74843,,,,,,,is
1999-04-13,GBPNZD,,,,weak,3.27976,,,,,,,is
1999-04-13,GBPUSD,,,,strong,4.66065,,,,,,,is
1999-04-13,GBPCAD,,,,weak,3.43284,,,,,,,is
1999-04-13,GBPCHF,,,,weak,3.78451,,,,,,,is
1999-04-13,GBPJPY,,,,weak,3.55867,,,,,,,is
1999-04-13,AUDNZD,,,,weak,2.89613,,,,,,,is
1999-04-13,AUDUSD,,,,medium,4.03517,,,,,,,is
1999-04-13,AUDCAD,,,,weak,3.58295,,,,,,,is
1999-04-13,AUDCHF,,,,medium,4.28649,,,,,,,is
1999-04-13,AUDJPY,,,,medium,3.92762,,,,,,,is
1999-04-13,NZDUSD,,,,weak,3.50131,,,,,,,is
1999-04-13,NZDCAD,,,,weak,3.38135,,,,,,,is
1999-04-13,NZDCHF,,,,weak,3.79919,,,,,,,is
1999-04-13,NZDJPY,,,,medium,3.69461,,,,,,,is
1999-04-13,USDCAD,,,,weak,3.2555,,,,,,,is
1999-04-13,USDCHF,,,,medium,4.27965,,,,,,,is
1999-04-13,USDJPY,,,,medium,3.84941,,,,,,,is
1999-04-13,CADCHF,,,,medium,4.14925,,,,,,,is
1999-04-13,CADJPY,,,,weak,3.67586,,,,,,,is
