sig,fam,spread_is,t_is,n_is,agree_is,spread_oos,t_oos,n_oos,agree_oos,held,p_is,fdr_pass
z_dens_40,z_dens,0.012775110346930352,6.907687925581628,81424.0,0.7142857142857143,0.006205275654792786,3.4424549222879053,76524.0,0.6428571428571429,True,4.926161624202645e-12,True
rngvol_250,rngvol,-0.011877926332610006,-6.88928636318613,89516.0,0.75,-0.013061547385794764,-7.077912991640723,76524.0,0.6071428571428571,True,5.6072963540118515e-12,True
signent_60,signent,0.011462299419300909,6.8838189783192885,94864.0,0.6428571428571429,-0.010776214301586151,-5.9066636475044545,76524.0,0.6428571428571429,False,5.826891181922736e-12,True
z_runmax_120,z_runmax,-0.012802035148654689,-6.877460453914479,79212.0,0.6428571428571429,0.004628436036622552,2.5434713718073545,76499.0,0.6428571428571429,False,6.092892887208137e-12,True
z_r2_20,z_r2,-0.012399838439055871,-6.85682090770733,82012.0,0.6428571428571429,-0.0017680265009403229,-0.9903510716243912,76524.0,0.6071428571428571,True,7.040980845464865e-12,True
d_ddhigh_5,d_ddhigh,0.011399039732558403,6.853410207606231,95844.0,0.8571428571428571,-0.0020891401384557917,-1.168380218050255,76524.0,0.5714285714285714,False,7.210992158139575e-12,True
hurst_40,hurst,-0.011670974748475227,-6.852318695769094,95396.0,0.7142857142857143,-0.005934656730719995,-3.3016541084263578,76524.0,0.6428571428571429,True,7.2662450229086685e-12,True
z_maxdd_10,z_maxdd,0.012272225426776084,6.824729819086678,82040.0,0.7142857142857143,0.013265168560402746,7.36608313752258,76524.0,0.7857142857142857,True,8.809094619659862e-12,True
z_rngcomp_20,z_rngcomp,-0.012496752398354682,-6.807989110947619,80892.0,0.6428571428571429,0.0029641836881637573,1.6717365962964865,76524.0,0.5,False,9.897235345332997e-12,True
d_maslope_250,d_maslope,-0.011549869286162529,-6.802731039326275,88956.0,0.6071428571428571,0.0017091525452477552,0.9652665557279818,76524.0,0.5357142857142857,False,1.0265419573659412e-11,True
d_ddlow_10,d_ddlow,0.011163774345602312,6.781486932417164,95704.0,0.7142857142857143,-0.004611380930457792,-2.5947483473849986,76524.0,0.5714285714285714,False,1.1894523824332863e-11,True
d_ddratio_120,d_ddratio,-0.011748353285448904,-6.7694658367187435,89292.0,0.6071428571428571,0.0020912156573363594,1.1685265163081762,76524.0,0.4642857142857143,False,1.292587299617151e-11,True
d_hma_20,d_hma,0.011265307664871216,6.759018787068645,95200.0,0.6785714285714286,0.0009375278438840673,0.5247454337560327,76524.0,0.5357142857142857,True,1.3892938139986301e-11,True
z_dens_20,z_dens,0.0121483573956149,6.702437127515141,81984.0,0.7857142857142857,-0.0004436597228050232,-0.24967927504605086,76524.0,0.5357142857142857,False,2.049717774258124e-11,True
z_vr_250,z_vr,0.013136681701455794,6.702170615500673,68572.0,0.6428571428571429,-0.0041648495410169795,-2.3148228801602637,76524.0,0.6071428571428571,False,2.05346070997032e-11,True
d_pctabove_5,d_pctabove,0.01116666517087389,6.649386360445963,95844.0,0.6785714285714286,-0.005724119288580742,-3.20975452862403,76524.0,0.5,False,2.943174832936315e-11,True
z_runmax_90,z_runmax,-0.012174728193453388,-6.631329302065344,80052.0,0.6785714285714286,-0.0019491096692425824,-1.069186764323558,76524.0,0.5357142857142857,True,3.3267711150372926e-11,True
d_hma_120,d_hma,-0.011150525084563656,-6.576598814895173,91532.0,0.6428571428571429,0.011119488094534169,6.174469779216553,76524.0,0.6071428571428571,False,4.8133116439138214e-11,True
