family,fast,slow,state,lead,lift,surr,surr_sd,excess,p
mas,1,27,nine-box,1,1.111378575504499,1.1186971585913543,0.026564940881504736,-0.007318583086855401,0.5714285714285714
mas,1,27,product M=5,3,1.0077981109570582,1.004823270244873,0.01960241574186256,0.002974840712185234,0.5238095238095238
mas,1,27,structural M=5,3,1.051408419614745,1.0080408247914758,0.029397652974238,0.04336759482326924,0.09523809523809523
mas,1,27,nine-box,3,1.0308619388252485,1.0623690342516523,0.008557740006115894,-0.03150709542640384,1.0
mas,1,34,product M=5,1,1.0152647142070395,0.9759016394633588,0.0382544405682894,0.039363074743680615,0.23809523809523808
mas,1,34,structural M=5,1,1.1177766799164284,0.9688875604916379,0.04810031346016312,0.14888911942479044,0.047619047619047616
mas,1,34,nine-box,1,1.1102876640296013,1.1382648279595762,0.021256401889637445,-0.027977163929974846,0.9047619047619048
mas,1,34,product M=5,3,1.0019875928267725,1.0042889382130107,0.02448956588178775,-0.0023013453862381628,0.5714285714285714
mas,1,34,structural M=5,3,1.048322219311006,0.9850951502767922,0.031421780686046674,0.06322706903421382,0.047619047619047616
mas,1,34,nine-box,3,1.0237934065262748,1.0723442637814453,0.0131523633978798,-0.0485508572551705,1.0
mas,1,44,product M=5,1,1.0329837119760543,0.9675780334764352,0.025089089251426454,0.06540567849961909,0.047619047619047616
mas,1,44,structural M=5,1,1.1088241066361142,0.9539373102314569,0.034966784286494475,0.1548867964046573,0.047619047619047616
mas,1,44,nine-box,1,1.0944128559276778,1.1316937443545094,0.018343784284321485,-0.03728088842683164,1.0
mas,1,44,product M=5,3,0.9864300113388058,0.9989501915963471,0.020993110743807532,-0.012520180257541313,0.8095238095238095
mas,1,44,structural M=5,3,1.0082168391083195,0.9682155624524255,0.021307255096666318,0.040001276655894036,0.047619047619047616
mas,1,44,nine-box,3,1.0254584921456185,1.0697706484584129,0.011481550271875628,-0.04431215631279439,1.0
mas,1,56,product M=5,1,0.970635913023879,0.9683847365325502,0.03563030669569372,0.002251176491328777,0.5238095238095238
mas,1,56,structural M=5,1,0.9867056865739278,0.955292693281455,0.0445929164595253,0.03141299329247271,0.3333333333333333
mas,1,56,nine-box,1,1.0753558522565432,1.1207860291548717,0.02162958478956762,-0.04543017689832851,1.0
mas,1,56,product M=5,3,0.9632846258079726,1.0032756018872175,0.021348576252541933,-0.039990976079244955,0.9523809523809523
mas,1,56,structural M=5,3,0.9783006898977887,0.9700648898207943,0.024859417365552295,0.008235800076994426,0.42857142857142855
mas,1,56,nine-box,3,1.0195180188475603,1.0609366634573605,0.011822786401754583,-0.04141864460980016,1.0
mas,1,72,product M=5,1,0.9659691809092478,0.9726204591506015,0.031585501991773325,-0.0066512782413536975,0.5238095238095238
mas,1,72,structural M=5,1,0.9694827260497028,0.9640078704802606,0.04222747876335246,0.005474855569442161,0.5238095238095238
mas,1,72,nine-box,1,1.074590280401527,1.1157908064207986,0.0219464939197799,-0.0412005260192716,1.0
mas,1,72,product M=5,3,0.9713923412422107,1.002583653747966,0.018739552265676807,-0.031191312505755242,0.9047619047619048
mas,1,72,structural M=5,3,0.9908310521699842,0.9814687158935019,0.029963390154554483,0.009362336276482308,0.47619047619047616
mas,1,72,nine-box,3,1.0166996604799423,1.0555813299612689,0.0102831380286273,-0.03888166948132654,1.0
mas,1,92,product M=5,1,1.0085100542072998,0.9832395444062645,0.030031123469174713,0.02527050980103529,0.19047619047619047
mas,1,92,structural M=5,1,1.012874567111779,0.9751649845497949,0.03811676740176324,0.03770958256198398,0.23809523809523808
mas,1,92,nine-box,1,1.078009626893143,1.1015943289913612,0.01517298648899118,-0.02358470209821828,0.9523809523809523
mas,1,92,product M=5,3,0.9938219914896241,1.0103553784474721,0.020581382965758104,-0.016533386957848006,0.8095238095238095
mas,1,92,structural M=5,3,1.0072367614891058,0.9884693118551885,0.02965755552194995,0.0187674496339173,0.2857142857142857
mas,1,92,nine-box,3,1.011871125371386,1.0495468667055885,0.011607793590496393,-0.037675741334202595,1.0
mas,1,118,product M=5,1,0.9988252754979977,0.9736794704834295,0.02700932718278141,0.0251458050145682,0.3333333333333333
mas,1,118,structural M=5,1,0.9908683744184463,0.9637284903391331,0.0386669210753977,0.027139884079313226,0.38095238095238093
mas,1,118,nine-box,1,1.0489627161485302,1.1000937496298244,0.027222267122553236,-0.05113103348129422,1.0
mas,1,118,product M=5,3,0.9799951697678868,1.0051549109217761,0.015490377723567999,-0.025159741153889303,0.9523809523809523
mas,1,118,structural M=5,3,1.000504123871566,0.9840433114184153,0.025136307764443165,0.016460812453150675,0.2857142857142857
mas,1,118,nine-box,3,1.0168945313018218,1.0417310906262844,0.009452408624494233,-0.024836559324462604,1.0
mas,1,152,product M=5,1,0.9577694411010652,0.9710814540731072,0.031267541739912856,-0.013312012972041987,0.6190476190476191
mas,1,152,structural M=5,1,1.0331248727937998,0.9776397076689098,0.0467702107454618,0.05548516512488999,0.23809523809523808
mas,1,152,nine-box,1,1.0665548368661328,1.0920247678988075,0.02473919730933289,-0.025469931032674697,0.9047619047619048
mas,1,152,product M=5,3,0.9775960232174491,1.0105327008099017,0.018352214500478792,-0.03293667759245256,0.9523809523809523
mas,1,152,structural M=5,3,1.0317487708622244,0.996815381663267,0.022490665074132363,0.03493338919895739,0.09523809523809523
mas,1,152,nine-box,3,1.015995999018197,1.036452853753101,0.01078386833077769,-0.020456854734903995,0.9523809523809523
mas,1,200,product M=5,1,0.944375597534515,0.9791551244927199,0.03229954362862304,-0.034779526958204854,0.8095238095238095
mas,1,200,structural M=5,1,1.0020466783218112,0.9891606181359212,0.04760979129898562,0.012886060185890003,0.5238095238095238
mas,1,200,nine-box,1,1.0534669739537694,1.082776953044763,0.023058373417791277,-0.029309979090993643,0.9047619047619048
mas,1,200,product M=5,3,0.9730299177422168,1.0096253606225851,0.01758311521072639,-0.03659544288036831,1.0
mas,1,200,structural M=5,3,1.0161153050933394,0.9973022345956328,0.022991238320687602,0.01881307049770653,0.19047619047619047
mas,1,200,nine-box,3,0.99895224451305,1.0334818446921266,0.009025401388774681,-0.03452960017907658,1.0
mas,2,3,product M=5,1,1.0292388424742527,1.010230092346053,0.044660239275326225,0.019008750128199692,0.3333333333333333
mas,2,3,structural M=5,1,1.012669081272219,1.0160922333915592,0.07673751398736733,-0.0034231521193401893,0.5238095238095238
mas,2,3,nine-box,1,0.9762127291971597,0.9565886349310875,0.02652885138620578,0.019624094266072256,0.23809523809523808
mas,2,3,product M=5,3,1.0055959780468546,0.9846121134869701,0.024472975983538064,0.020983864559884546,0.23809523809523808
mas,2,3,structural M=5,3,0.970927431820355,0.9640021812741001,0.02944564003235067,0.006925250546254924,0.38095238095238093
mas,2,3,nine-box,3,0.985064759402432,0.9871824437309336,0.016005637343951967,-0.002117684328501568,0.5714285714285714
mas,2,4,product M=5,1,1.0320062082076884,1.0379405781548612,0.04447569486745185,-0.0059343699471727795,0.6190476190476191
mas,2,4,structural M=5,1,0.9873846832928714,0.9804706779012184,0.036053346392409716,0.006914005391652989,0.42857142857142855
mas,2,4,nine-box,1,0.9634655012189136,0.9646761065738552,0.027741199267136606,-0.0012106053549415519,0.6666666666666666
mas,2,4,product M=5,3,0.9646595244884784,0.9736759350146637,0.01860418907247792,-0.009016410526185292,0.6190476190476191
mas,2,4,structural M=5,3,0.9279666898656451,0.9240669307720284,0.025752112594964866,0.003899759093616728,0.47619047619047616
mas,2,4,nine-box,3,0.9759914826517554,0.9876279954721852,0.01578845931201038,-0.011636512820429767,0.8095238095238095
mas,2,5,product M=5,1,0.990493120243024,0.9958204751079609,0.0406705846807369,-0.005327354864936851,0.5238095238095238
mas,2,5,structural M=5,1,1.0758142502352885,0.9725901784405636,0.06269566272838283,0.10322407179472493,0.14285714285714285
mas,2,5,nine-box,1,1.0327323818098293,0.9837809313284771,0.022956352596906097,0.04895145048135219,0.047619047619047616
mas,2,5,product M=5,3,0.9594459028669289,0.9518956820639654,0.0185517640459562,0.007550220802963525,0.42857142857142855
mas,2,5,structural M=5,3,0.9532001573635397,0.9004038114095427,0.034716963816592436,0.05279634595399696,0.14285714285714285
mas,2,5,nine-box,3,0.9528979464519127,0.9843754272797627,0.016400835631410603,-0.03147748082784996,0.9523809523809523
mas,2,6,product M=5,1,0.9212469748796356,0.9810421895220915,0.027053670902286046,-0.05979521464245596,1.0
mas,2,6,structural M=5,1,1.0196941325794526,0.9643858588452318,0.05517077402188124,0.05530827373422087,0.19047619047619047
mas,2,6,nine-box,1,1.017315670833331,0.9886789098030915,0.028463190633971038,0.0286367610302396,0.23809523809523808
mas,2,6,product M=5,3,0.9504530847707033,0.9847404789901631,0.017832614815415253,-0.03428739421945981,1.0
mas,2,6,structural M=5,3,0.9375389139569825,0.9624459525594411,0.025755122297181403,-0.024907038602458575,0.9047619047619048
mas,2,6,nine-box,3,0.963729677856099,0.9893020195440944,0.013413182183870312,-0.02557234168799538,0.9523809523809523
mas,2,8,product M=5,1,1.0166061520250838,1.0207293335759702,0.04848355431182388,-0.004123181550886423,0.5238095238095238
mas,2,8,structural M=5,1,1.1154562656935887,1.0454665072717368,0.0872256896197706,0.06998975842185184,0.19047619047619047
mas,2,8,nine-box,1,0.9643103019214505,0.9964771172668616,0.025996145929410304,-0.032166815345411104,0.9047619047619048
mas,2,8,product M=5,3,1.0710727924721004,1.0664194196741128,0.023167753530640163,0.004653372797987609,0.47619047619047616
mas,2,8,structural M=5,3,1.1331496942840125,1.1249555469909165,0.038500051420518835,0.008194147293095977,0.5238095238095238
mas,2,8,nine-box,3,0.9554325544956496,0.9924047142914818,0.014129138306194809,-0.03697215979583224,1.0
mas,2,10,product M=5,1,1.1098102100617284,1.0557438270944297,0.044726242551369665,0.05406638296729871,0.19047619047619047
mas,2,10,structural M=5,1,1.250899615876846,1.131589945586344,0.06791149026304706,0.11930967029050188,0.09523809523809523
mas,2,10,nine-box,1,0.9801758259436073,1.0002244877768356,0.02406070104355999,-0.020048661833228287,0.7619047619047619
mas,2,10,product M=5,3,1.0968700617454876,1.0962427980506488,0.024536822930653752,0.0006272636948387866,0.47619047619047616
mas,2,10,structural M=5,3,1.175038098841573,1.1687440626509136,0.033620471388413585,0.00629403619065938,0.5238095238095238
mas,2,10,nine-box,3,0.985968838080815,0.998274299508273,0.01190477470520008,-0.01230546142745792,0.8095238095238095
mas,2,13,product M=5,1,1.110955698476588,1.055265604949543,0.03879049568387615,0.055690093527045015,0.09523809523809523
mas,2,13,structural M=5,1,1.2539190593496947,1.1216107607514543,0.058781832441452096,0.13230829859824045,0.047619047619047616
mas,2,13,nine-box,1,0.9897967441686342,1.0050730156176537,0.024885990880571543,-0.015276271449019552,0.6666666666666666
mas,2,13,product M=5,3,1.1004690116598903,1.0867900013875909,0.02431441539712379,0.013679010272299452,0.3333333333333333
mas,2,13,structural M=5,3,1.1217984005309187,1.134257937701942,0.03784950333932588,-0.012459537171023216,0.6666666666666666
mas,2,13,nine-box,3,0.9758674117590698,1.0008994821513308,0.013114412077409335,-0.025032070392261074,1.0
mas,2,16,product M=5,1,1.0946913797467084,1.0440874847390993,0.051202436485879195,0.05060389500760909,0.19047619047619047
mas,2,16,structural M=5,1,1.2592770280494683,1.0877097878899413,0.08095162966843834,0.17156724015952696,0.09523809523809523
mas,2,16,nine-box,1,0.9854769577350456,1.0221090271376732,0.02745938112135505,-0.03663206940262753,0.9523809523809523
