n,yardstick,seed,dipb,median_year_pct,max_dd_pct,worst_year_pct,profit_factor,budget
5272,random,20260937,5.4,7.803508094731172,2.997633414151597,5.296283154113789,1.4860629245101187,team2
5272,random,20260938,5.4,7.896547516604369,2.7210435001669566,5.397374463382931,1.4648820623160106,team2
5272,random,20260939,5.4,8.138223388450083,2.942952674092922,5.266945980324919,1.4855320784019312,team2
5272,random,20260940,5.4,8.008188995937488,2.9757073984764517,5.093176499660595,1.4699680326215283,team2
5272,random,20260941,5.4,7.581242146482858,3.001146543285113,5.539735425243726,1.492442748448044,team2
5272,random,20260942,5.4,7.27132508488074,2.98281064568517,4.844249244851286,1.481362953262322,team2
5272,random,20260943,5.4,7.555534798265913,2.7943527368214447,5.894591126377662,1.4861599813674435,team2
5272,random,20260944,5.4,7.819392906502908,2.654419190402809,4.505004646136292,1.466879258464309,team2
5272,random,20260945,5.4,8.14315779676812,3.0703047863773705,5.136860304356405,1.4739485849457694,team2
5272,random,20260946,5.4,7.370351774209734,2.9860706654809483,4.007978969781498,1.4297192121302305,team2
5272,random,20260947,5.4,7.464321323567201,3.256194078442359,5.1194059880906595,1.4851033705728436,team2
5272,random,20260948,5.4,6.889866291593591,2.9049642475364053,4.648843007900078,1.4676884099363845,team2
