N,B,D,R,A_real,A_surr,A_corr,A_z,B_real,B_surr,B_corr,B_z,agree
5,1,1.0,0.75,0.42265168501312583,0.42571183511045874,-0.0030601500973329032,-0.12695098984641887,0.42896553063599907,0.4189921542252971,0.00997337641070195,0.3747842338024824,False
5,1,1.0,1.0,0.42279057718171453,0.4257345515880835,-0.0029439744063689544,-0.12208423778242095,0.4288518814371504,0.4190224342074706,0.009829447229679822,0.3694984615578471,False
5,2,0.25,0.5,0.407383145168835,0.4248309524822288,-0.017447807313393793,-0.7327945897949247,0.4239778926575901,0.41608011695723723,0.007897775700352883,0.3126419433174714,False
5,2,0.25,0.62,0.4086460723225379,0.4240563152630683,-0.015410242940530394,-0.6440712767546408,0.42385674732951684,0.41535378847387694,0.008502958855639897,0.33801197925460985,False
5,2,0.25,0.75,0.4080629258930648,0.4239719974925601,-0.015909071599495284,-0.6646909463766739,0.423903571554242,0.41504807314605524,0.00885549840818678,0.3550111978039081,False
5,2,0.25,1.0,0.40898933028069245,0.4239714885722939,-0.014982158291601433,-0.6269890176306527,0.4237666108989015,0.41498886877682006,0.008777742122081433,0.3516760488861097,False
5,2,0.5,0.5,0.4242102178327205,0.43898635946556774,-0.01477614163284724,-0.6548140686036925,0.4341428344103003,0.4286513150101968,0.005491519400103506,0.20299420878897165,False
5,2,0.5,0.62,0.42498930110803357,0.43851292700561323,-0.01352362589757966,-0.5989567404913261,0.4339772901115493,0.4277924747951943,0.006184815316355008,0.2278841020926552,False
5,2,0.5,0.75,0.4242261744733909,0.43843738048279074,-0.014211206009399846,-0.6295399993634324,0.43418772300509173,0.42756337428455,0.0066243487205417395,0.24595148964729874,False
5,2,0.5,1.0,0.4252530658133195,0.4384398370847341,-0.013186771271414599,-0.5853994396239557,0.4334166121857472,0.42763820391534263,0.005778408270404545,0.2140613019076107,False
5,2,1.0,0.5,0.5530236531094891,0.5869719973532931,-0.033948344243803996,-0.7984765552788583,0.5071762237468697,0.555626635668178,-0.04845041192130839,-1.0098030153013606,True
5,2,1.0,0.62,0.5539614727813263,0.5870646568633271,-0.03310318408200075,-0.791255861751422,0.5091552483059085,0.5555887196568314,-0.046433471350922906,-0.9687902536767348,True
5,2,1.0,0.75,0.5528613608566136,0.5868807270806528,-0.034019366224039116,-0.821762952527599,0.5099611474079897,0.5555422835370767,-0.045581136129086985,-0.9461936505301355,True
5,2,1.0,1.0,0.5542608069366352,0.5868253931245411,-0.03256458618790592,-0.7904574186670437,0.5100621238794774,0.5556977934726257,-0.045635669593148354,-0.9476622691280009,True
5,3,0.25,0.5,0.4265809752504536,0.4366431856035307,-0.010062210353077139,-0.4347064928135403,0.435016177452632,0.43075716417109133,0.004259013281540658,0.1648957859914258,False
5,3,0.25,0.62,0.4286642352589909,0.436047024396051,-0.007382789137060086,-0.3175750025182787,0.4358947836275746,0.4297893656657738,0.0061054179618008075,0.23473519065138654,False
5,3,0.25,0.75,0.42788386032349185,0.43593919731700304,-0.008055336993511186,-0.34728263399783904,0.43592708812569747,0.4293612668159371,0.006565821309760356,0.2535070231825848,False
5,3,0.25,1.0,0.4280000615196187,0.4359378703073048,-0.007937808787686074,-0.3426106561784926,0.4356486484212654,0.4292395335588373,0.006409114862428067,0.24758255096452905,False
5,3,0.5,0.5,0.562581965212836,0.5575646879618279,0.00501727725100809,0.12207697150776604,0.4953532482514331,0.5371752999314804,-0.04182205168004727,-0.909509796083303,False
5,3,0.5,0.62,0.5639940135474028,0.5571738057187392,0.006820207828663549,0.1669692686180815,0.4975971807904251,0.5365602044305811,-0.03896302364015597,-0.8446876668678969,False
5,3,0.5,0.75,0.5634072391944841,0.5572021766359174,0.006205062558566676,0.15301946936912267,0.49840073489148695,0.5362476778198261,-0.03784694292833912,-0.8193978700066017,False
5,3,0.5,1.0,0.5638414899247193,0.5572140302031391,0.006627459721580187,0.16392826392299464,0.49925943054877087,0.5363225902799698,-0.03706315973119889,-0.8014644241662618,False
5,3,1.0,0.5,0.47345665937382075,0.5414657120663093,-0.06800905269248858,-2.0611087951894813,0.47960839035245934,0.5157378715391235,-0.0361294811866642,-0.9587973385750371,True
5,3,1.0,0.62,0.4732196123785378,0.5414665393915111,-0.0682469270129733,-2.093245016850846,0.4813420044320801,0.5155305702706308,-0.03418856583855068,-0.9089776729969375,True
5,3,1.0,0.75,0.47192924639905276,0.5411709695355411,-0.06924172313648835,-2.1378638941443304,0.48224879524106756,0.5154814739223934,-0.033232678681325845,-0.8811511213217121,True
5,3,1.0,1.0,0.4722101226255445,0.5411300982127292,-0.06891997558718466,-2.1410493907877037,0.4827826205686987,0.5155930131921458,-0.03281039262344709,-0.868449798162997,True
