budget,structure,draw,median_year_pct,total_return_pct,members_step1,members_step2
team1,ALLPASS,14,4.809291243208509,27.75059150342924,1094,1008
team1,STABLE,14,3.77997141845602,16.982845159078913,823,19
team1,PICKED,14,9.261309054302991,72.07249192909433,31,46
team1,FAMILY_CAP,14,2.2074686048475396,18.453424642587798,28,27
team1,ALLPASS,15,5.321450405326662,28.33027929612458,1094,1008
team1,STABLE,15,4.626995064737078,20.856810855505067,823,19
team1,PICKED,15,7.383916653695609,53.537238570388695,32,45
team1,FAMILY_CAP,15,0.8527910936978134,7.636286224397795,22,24
team1,ALLPASS,16,4.499289134013599,27.961009149797235,1094,1008
team1,STABLE,16,4.415045007297622,17.447657899609467,823,19
team1,PICKED,16,2.181796198535197,26.351816057723706,45,27
team1,FAMILY_CAP,16,-1.5988770578827305,0.8903528349671705,25,26
team1,ALLPASS,17,3.7697725541671385,23.158534774205837,1094,1008
team1,STABLE,17,3.306805907098155,14.933443455720724,823,19
team1,PICKED,17,-0.1674792263320775,9.29245029288624,14,20
team1,FAMILY_CAP,17,0.7154149138289356,3.702850615060207,23,25
team1,ALLPASS,18,4.627176852633147,25.859581432379542,1094,1008
team1,STABLE,18,4.37159185964076,17.072531370194717,823,19
team1,PICKED,18,5.5471531793696895,43.69781479138475,44,25
team1,FAMILY_CAP,18,-0.252964517813279,8.11650580527649,20,19
team1,ALLPASS,19,4.4769411180943255,26.322753599794062,1094,1008
team1,STABLE,19,3.554619437242418,15.836134634448449,823,19
team1,PICKED,19,2.150175221934563,33.83172797841939,40,30
team1,FAMILY_CAP,19,1.253085963047575,5.271952219392098,26,23
team1,ALLPASS,20,4.94572735883118,28.56302179065832,1094,1008
team1,STABLE,20,4.4936017838438405,17.89429376070427,823,19
team1,PICKED,20,7.750726075324824,42.50078635510047,32,27
team1,FAMILY_CAP,20,0.6219212721573312,3.795879101573135,27,29
team1,ALLPASS,21,4.856930066481802,29.251053400171568,1094,1008
team1,STABLE,21,4.633998037890204,18.6558968084191,823,19
team1,PICKED,21,8.542220837282029,33.960821436179785,24,44
team1,FAMILY_CAP,21,0.3024068438063205,5.40392087059174,26,25
team1,ALLPASS,22,4.893449814391704,28.240857543689195,1094,1008
team1,STABLE,22,4.606365198707137,16.594538168219692,823,19
team1,PICKED,22,6.461580773110961,41.49193260719476,39,25
team1,FAMILY_CAP,22,-0.3181339913705092,1.7732153080891586,28,27
team1,ALLPASS,23,4.961984349988866,29.130238429069966,1094,1008
team1,STABLE,23,4.734493644068042,19.96595250744072,823,19
team1,PICKED,23,0.47653130728103377,10.186804283007437,12,40
team1,FAMILY_CAP,23,0.809609993712367,7.136215185059638,25,27
team1,ALLPASS,24,4.119240102398614,24.504318205861267,1094,1008
team1,STABLE,24,3.4389417297859404,17.158321144228488,823,19
team1,PICKED,24,1.9853691934684545,16.468334374624444,28,25
team1,FAMILY_CAP,24,2.106043413024786,8.010011456478852,25,25
team2,ALLPASS,0,8.448627192150774,46.97214275461282,1094,1008
team2,STABLE,0,7.655697317833616,22.108925312463153,823,19
team2,PICKED,0,10.347698096795154,55.140147726350385,28,44
team2,FAMILY_CAP,0,2.930186802006345,17.415765223284197,26,27
team2,ALLPASS,1,7.447516305566693,42.67432559725928,1094,1008
team2,STABLE,1,6.127748919622377,25.83971307307499,823,19
team2,PICKED,1,8.81593515845146,57.511837498763015,30,46
team2,FAMILY_CAP,1,-1.3345309172164341,1.9312857914576118,28,26
team2,ALLPASS,2,7.211582587641351,40.94295544955244,1094,1008
team2,STABLE,2,6.172117817925672,26.971670552417844,823,19
team2,PICKED,2,14.604854101943719,96.78982479033758,33,43
team2,FAMILY_CAP,2,-0.027552150751757862,11.298268057359039,21,21
team2,ALLPASS,3,8.643718005184857,44.793712951147995,1094,1008
team2,STABLE,3,5.510567716764482,22.101969186456238,823,19
