s,ta,spa,aga,moa,cta,tb,spb,agb,mob,ctb,tsb,b
za_cx3_x5_pl,-1.868,-0.00453,0.536,-0.257,28.0,-2.971,-0.00658,0.571,-0.894,28.0,4,trend-duration
za_cx3_s5_pl,-1.868,-0.00453,0.536,-0.257,28.0,-2.964,-0.00658,0.607,-0.868,28.0,4,trend-duration
za_cx3_m8_pl,-3.736,-0.0091,0.607,-0.558,28.0,4.819,0.01047,0.75,-0.012,28.0,1,trend-duration
za_cx3_x8_pl,-3.484,-0.00849,0.643,-0.282,28.0,-1.174,-0.00257,0.536,-0.593,28.0,4,trend-duration
za_cx3_s8_pl,-3.428,-0.00835,0.643,-0.359,28.0,-0.411,-0.0009,0.5,-0.48,28.0,4,trend-duration
za_cx3_m10_pl,-3.553,-0.00873,0.643,-0.414,28.0,5.319,0.0115,0.786,0.012,28.0,1,trend-duration
za_cx3_x10_pl,-6.686,-0.01656,0.75,-0.814,28.0,0.394,0.00086,0.536,-0.3,28.0,1,trend-duration
za_cx3_s10_pl,-5.928,-0.0147,0.679,-0.859,28.0,1.218,0.00265,0.607,-0.244,28.0,1,trend-duration
za_cx3_m15_pl,-4.065,-0.01009,0.607,-0.528,28.0,3.595,0.00782,0.643,0.155,28.0,1,trend-duration
za_cx3_x15_pl,-4.235,-0.01038,0.643,-0.465,28.0,-2.159,-0.00464,0.571,-0.021,28.0,3,trend-duration
za_cx3_s15_pl,-5.207,-0.01291,0.607,-0.591,28.0,-1.684,-0.00364,0.571,-0.199,28.0,4,trend-duration
za_cx3_m20_pl,-4.888,-0.0121,0.607,-0.684,28.0,1.357,0.00297,0.607,0.155,28.0,2,trend-duration
za_cx3_x20_pl,-3.095,-0.00761,0.5,-0.528,28.0,-4.141,-0.00901,0.679,-0.102,28.0,3,trend-duration
za_cx3_s20_pl,-3.608,-0.00891,0.571,-0.544,28.0,-4.068,-0.00885,0.679,-0.073,28.0,3,trend-duration
za_cx3_m25_pl,-5.096,-0.01271,0.536,-0.727,28.0,-2.956,-0.00644,0.643,0.03,28.0,3,trend-duration
za_cx3_x25_pl,-2.473,-0.00607,0.5,-0.131,28.0,-3.312,-0.00723,0.643,-0.011,28.0,3,trend-duration
za_cx3_s25_pl,-4.404,-0.01099,0.679,-0.605,28.0,-3.504,-0.00763,0.679,0.048,28.0,3,trend-duration
za_cx3_m30_pl,-3.29,-0.00822,0.536,-0.609,28.0,-3.089,-0.00672,0.643,-0.04,28.0,3,trend-duration
za_cx3_x30_pl,0.55,0.00133,0.5,0.042,28.0,-3.167,-0.00696,0.679,0.042,28.0,3,trend-duration
za_cx3_s30_pl,-2.196,-0.00544,0.607,-0.356,28.0,-3.037,-0.00667,0.643,0.049,28.0,3,trend-duration
zb_eg1_60,1.836,0.00455,0.5,-0.228,28.0,-2.656,-0.00556,0.607,-0.496,28.0,2,trend-duration
zb_eg2_60,1.491,0.00369,0.429,-0.1,28.0,2.12,0.0047,0.607,0.628,28.0,3,trend-duration
zb_eg3_60,2.375,0.00599,0.5,0.331,28.0,-2.152,-0.00481,0.429,-0.099,28.0,4,trend-duration
zb_gp12_60,2.64,0.0065,0.464,0.211,28.0,-6.141,-0.01348,0.679,-0.906,28.0,3,trend-duration
zb_gp23_60,-7.882,-0.01923,0.643,-0.573,28.0,3.662,0.00784,0.5,0.306,28.0,2,trend-duration
zb_egt_60,8.032,0.02056,0.714,0.316,28.0,-2.45,-0.00543,0.464,-0.019,28.0,1,trend-duration
zb_eg1_120,4.815,0.01217,0.714,0.229,28.0,-8.457,-0.01825,0.643,-0.425,28.0,3,trend-duration
zb_eg2_120,-1.036,-0.00257,0.571,-0.098,28.0,6.788,0.01516,0.786,0.973,28.0,3,trend-duration
zb_eg3_120,-11.248,-0.02822,0.857,-0.833,28.0,-4.115,-0.00894,0.536,-0.376,28.0,5,trend-duration
zb_gp12_120,2.949,0.00739,0.536,0.361,28.0,-14.07,-0.0305,0.821,-0.683,28.0,3,trend-duration
zb_gp23_120,4.135,0.01022,0.571,0.034,28.0,10.216,0.02213,0.786,0.749,28.0,5,trend-duration
zb_egt_120,-5.093,-0.01274,0.714,-0.555,28.0,2.104,0.00456,0.607,0.588,28.0,3,trend-duration
zb_eg1_250,7.793,0.01973,0.714,0.868,28.0,-6.917,-0.01497,0.643,-0.349,28.0,2,trend-duration
zb_eg2_250,-11.473,-0.02883,0.929,-0.693,28.0,6.913,0.01484,0.679,0.506,28.0,1,trend-duration
zb_eg3_250,-3.097,-0.00805,0.536,-0.264,28.0,-1.752,-0.00378,0.5,-0.504,28.0,3,trend-duration
zb_gp12_250,9.768,0.02434,0.786,0.804,28.0,-9.685,-0.02043,0.75,-0.273,28.0,1,trend-duration
zb_gp23_250,-1.978,-0.00509,0.536,-0.47,28.0,6.43,0.014,0.5,0.907,28.0,3,trend-duration
zb_egt_250,-11.896,-0.02927,0.786,-0.486,28.0,-2.27,-0.00468,0.536,-0.05,28.0,4,trend-duration
zb_eg1_500,10.423,0.02804,0.679,0.535,28.0,0.263,0.00056,0.429,-0.052,28.0,5,trend-duration
zb_eg2_500,0.719,0.00204,0.429,-0.081,28.0,2.969,0.00654,0.536,0.069,28.0,1,trend-duration
zb_eg3_500,-5.044,-0.0142,0.679,-0.822,28.0,3.734,0.0084,0.643,0.575,28.0,2,trend-duration
zb_gp12_500,7.305,0.01998,0.679,0.447,28.0,-2.524,-0.00541,0.607,0.022,28.0,1,trend-duration
zb_gp23_500,10.153,0.0291,0.929,0.7,28.0,2.995,0.00666,0.571,0.121,28.0,2,trend-duration
