n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,ex_calmar,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
134,36.08061599668402,8,-3.0353345103251006,10,1.7507526222786745,16,-0.39677278248686676,0,0.0,114,38.47738877917093,vortex_signals,schaff_trend_cycle_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,trend,27,-0.010996840589510226,29.872894062425996,38.08061599668403,7.5204111495287185,27,38.47738877917093,114,43.0,28.0,35.5,40
298,152.55889021423593,30,90.19496228514706,6,94.101972170857,34,93.15870648174877,0,0.0,252,52.36230991032176,ssl_channel_signals,relative_vigor_index_signals,chaikin_volatility_volume_signals,wma_baseline,trend,52,0.6106409554430262,18.633360774601197,52.63920016262796,7.500955362078776,52,52.36230991032176,252,16.0,56.0,36.0,41
238,120.31353173204006,26,77.61356400700313,6,79.90113271336922,30,76.11476426269903,0,0.0,194,48.1670573683714,qqe_mod_signals,fisher_transform_signals,variance_volume_signals,mcginley_dynamic_index,trend,53,0.6326367713335881,20.880759404667703,42.88188917339708,7.170066110159347,53,48.1670573683714,194,23.0,49.0,36.0,42
284,140.5626540270285,28,81.19558488988102,6,82.70192020570607,32,83.241069134718,0,0.0,243,48.42677117951047,ssl_channel_signals,relative_vigor_index_signals,chaikin_volatility_volume_signals,sma_baseline,trend,43,0.5921990425615595,20.75429238247418,49.36105596567694,5.7277726622532805,43,48.42677117951047,243,22.0,50.0,36.0,43
364,64.49980151973955,24,9.134728155807359,4,-1.5366091358571146,26,8.598119019950248,0,0.0,327,53.25341493180172,schaff_trend_cycle_signals,lemantrend_signals,chaikin_volatility_volume_signals,hma_baseline,trend,55,0.13330458105857698,17.423124965001925,61.85153395175191,7.287347629865088,55,53.25341493180172,327,15.0,59.0,37.0,44
156,108.69057958892624,14,64.76306990123953,8,69.23263287968182,18,66.28684619214125,0,0.0,132,38.49302641686103,fx_sniper_ergodic_cci_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,trend,38,0.6098674461286503,28.42135879304768,36.390585934045696,7.102396829444067,38,38.49302641686103,132,42.0,32.0,37.0,45
178,43.36996653492012,16,-1.2858485652603353,2,-1.000000000000016,16,-1.2858485652603353,0,0.0,160,42.410351424479906,linreg_slope_signals,bears_bulls_impulse_signals,chaikin_volatility_volume_signals,rma_baseline,trend,37,-0.029648364248217967,24.569721871366266,41.12450285921957,6.801030655320934,37,42.410351424479906,160,32.0,42.0,37.0,46
120,128.67561449560685,12,86.61690337265854,4,90.18032158951434,14,90.05071377073114,0,0.0,101,32.558936305839055,parabolic_sar_signals,ichimoku_signals,fractal_dimension_volume_signals,ema_baseline,trend,36,0.6998273458706162,31.734303797591856,35.863138885128436,4.452841177598873,36,32.558936305839055,101,54.0,20.0,37.0,47
112,36.02486048192203,10,-0.4830404787785416,4,2.07240505483776,14,1.5893645760592183,0,0.0,98,34.43549590586281,lemantrend_signals,vortex_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,trend,35,0.044118549101856815,31.31430330298739,36.024860481922,9.57827524320934,35,34.43549590586281,98,52.0,23.0,37.5,48
240,51.22313772338827,14,0.7157523603252259,8,4.059113187172987,20,5.570710016157072,0,0.0,217,44.96442102266951,vortex_signals,center_of_gravity_signals,williams_vix_fix_volume_signals,rma_baseline,trend,41,0.10875378322662786,20.718337474177275,50.53513103882658,8.71187862718621,41,44.96442102266951,217,25.0,51.0,38.0,49
102,37.56730157827145,12,7.259302091448032,2,1.953945995918573,14,9.213248087366605,0,0.0,77,25.127117035782867,bears_bulls_impulse_signals,fx_sniper_ergodic_cci_signals,efficiency_ratio_volume_signals,tma_baseline,trend,45,0.24524646967711558,33.82012566958568,31.999436663620035,8.687128965155715,45,25.127117035782867,77,60.0,16.0,38.0,50
