day,pair,dir,size,entry,stop
2016-02-17,GBPCAD,-1,5.910388979488911,0.0,0.0
2016-02-17,NZDUSD,-1,0.9850648299148184,0.0,0.0
2016-02-18,AUDJPY,-1,0.9850648299148184,0.0,0.0
2016-02-18,AUDNZD,1,2.9551944897444553,0.0,0.0
2016-02-18,CHFJPY,-1,2.9551944897444553,0.0,0.0
2016-02-18,EURAUD,1,0.9850648299148184,0.0,0.0
2016-02-18,EURJPY,-1,2.9551944897444553,0.0,0.0
2016-02-18,GBPCAD,-1,2.9551944897444553,0.0,0.0
2016-02-18,NZDUSD,-1,0.9850648299148184,0.0,0.0
2016-02-19,AUDCHF,1,0.9850648299148184,0.0,0.0
2016-02-19,AUDJPY,-1,0.9850648299148184,0.0,0.0
2016-02-19,AUDNZD,1,2.9551944897444553,0.0,0.0
2016-02-19,CHFJPY,-1,2.9551944897444553,0.0,0.0
2016-02-19,EURJPY,-1,2.9551944897444553,0.0,0.0
2016-02-19,GBPCAD,-1,0.9850648299148184,0.0,0.0
2016-02-19,NZDUSD,-1,0.9850648299148184,0.0,0.0
2016-02-22,AUDCHF,1,2.9551944897444553,0.0,0.0
2016-02-22,AUDJPY,-1,0.9850648299148184,0.0,0.0
2016-02-22,AUDNZD,1,2.9551944897444553,0.0,0.0
2016-02-22,CHFJPY,-1,0.9850648299148184,0.0,0.0
2016-02-22,EURJPY,-1,2.9551944897444553,0.0,0.0
2016-02-22,EURNZD,-1,2.9551944897444553,0.0,0.0
2016-02-22,EURUSD,-1,0.9850648299148184,0.0,0.0
2016-02-22,GBPCAD,-1,0.9850648299148184,0.0,0.0
2016-02-22,NZDUSD,-1,0.9850648299148184,0.0,0.0
2016-02-23,AUDCHF,1,2.068636142821119,0.0,0.0
2016-02-23,AUDNZD,1,2.068636142821119,0.0,0.0
2016-02-23,CADCHF,1,0.689545380940373,0.0,0.0
2016-02-23,CHFJPY,-1,0.689545380940373,0.0,0.0
2016-02-23,EURJPY,-1,0.689545380940373,0.0,0.0
2016-02-23,EURNZD,-1,4.137272285642238,0.0,0.0
2016-02-23,EURUSD,-1,2.068636142821119,0.0,0.0
2016-02-23,GBPCAD,-1,0.689545380940373,0.0,0.0
2016-02-24,AUDCHF,1,2.2984846031345763,0.0,0.0
2016-02-24,AUDNZD,1,2.2984846031345763,0.0,0.0
2016-02-24,CADCHF,1,2.2984846031345763,0.0,0.0
2016-02-24,CHFJPY,-1,0.7661615343781921,0.0,0.0
2016-02-24,EURNZD,-1,4.5969692062691525,0.0,0.0
2016-02-24,EURUSD,-1,2.2984846031345763,0.0,0.0
2016-02-24,GBPCAD,-1,0.7661615343781921,0.0,0.0
2016-02-25,AUDCHF,1,0.7661615343781921,0.0,0.0
2016-02-25,AUDNZD,1,2.2984846031345763,0.0,0.0
2016-02-25,CADCHF,1,2.2984846031345763,0.0,0.0
2016-02-25,CHFJPY,-1,0.7661615343781921,0.0,0.0
2016-02-25,EURNZD,-1,4.5969692062691525,0.0,0.0
2016-02-25,EURUSD,-1,2.2984846031345763,0.0,0.0
2016-02-25,GBPCAD,-1,0.7661615343781921,0.0,0.0
2016-02-26,AUDCHF,1,0.689545380940373,0.0,0.0
2016-02-26,AUDNZD,1,2.068636142821119,0.0,0.0
2016-02-26,CADCHF,1,2.068636142821119,0.0,0.0
2016-02-26,EURAUD,-1,0.689545380940373,0.0,0.0
2016-02-26,EURNZD,-1,4.137272285642238,0.0,0.0
2016-02-26,EURUSD,-1,2.068636142821119,0.0,0.0
2016-02-26,GBPCAD,-1,0.689545380940373,0.0,0.0
2016-02-29,AUDCHF,1,0.689545380940373,0.0,0.0
