n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,ex_calmar,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
153,62.53111760002907,12,4.253797338779341,4,3.999999999999996,16,8.253797338779338,0,0.0,130,49.01550568997847,dpo_signals,j_tpo_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,chop,35,0.13199503951894026,20.507367700366785,57.26930302875779,4.879092144227013,35,49.01550568997847,130,28.0,33.0,30.5,30
152,58.40787607948096,11,7.998038071715871,9,10.130307006600932,17,13.187954745045365,0,0.0,134,46.219921334435604,schaff_trend_cycle_signals,kuskus_starlight_signals,efficiency_ratio_volume_signals,fantail_vma,chop,25,0.2257906917741591,21.002647816678987,59.40787607948098,7.557877885785103,25,46.219921334435604,134,33.0,29.0,31.0,31
231,87.91356141302808,16,3.9109529442311786,9,4.658686708194429,25,8.569639652425604,0,0.0,193,61.41347359746354,polychromatic_momentum_signals,ssl_channel_signals,chaikin_volatility_volume_signals,kama_baseline,chop,34,0.09747801721015995,16.823029877836504,69.98311324988913,5.625639220851519,34,61.41347359746354,193,14.0,48.0,31.0,32
120,56.7020875558193,9,7.920041121971217,9,11.429183053669275,18,19.349224175640497,0,0.0,98,36.42701330583384,mama_fama_signals,linreg_slope_signals,variance_volume_signals,fantail_vma,chop,20,0.3412435945430143,25.9491459482577,55.77623748147432,5.616965605455402,20,36.42701330583384,98,52.0,11.0,31.5,33
174,81.78989764831226,14,14.36299704511217,7,-1.1579148239643333,21,13.205082221147833,0,0.0,140,48.1423659504183,dspo_signals,fx_sniper_ergodic_cci_signals,chaikin_volatility_volume_signals,fantail_vma,chop,29,0.16145126232983276,19.101547752737652,61.34744817156616,8.05064500523622,29,48.1423659504183,140,29.0,36.0,32.5,34
115,48.65650024259183,13,15.701181906696295,4,-3.5401492649707067,17,12.16103264172559,0,0.0,94,33.59546760086624,fisher_transform_signals,ichimoku_signals,volatility_ratio_volume_signals,mcginley_dynamic_index,chop,60,0.24993644386861058,26.42742618374747,45.75650024259184,7.0636322206080315,60,33.59546760086624,94,55.0,10.0,32.5,35
107,47.799751540455595,12,7.5235483742094225,4,6.500000000000029,16,14.02354837420945,0,0.0,84,33.018636868386864,mama_fama_signals,dpo_signals,waddah_attar_explosion_volume_signals,kama_baseline,chop,49,0.2933811980662816,26.99417093663426,47.042185242596304,6.027346034098593,49,33.018636868386864,84,57.0,8.0,32.5,36
291,94.32766135457722,19,15.278145941693959,19,8.395150828803965,37,24.4558228151979,0,0.0,246,66.9330622376192,polychromatic_momentum_signals,fx_sniper_ergodic_cci_signals,variance_volume_signals,wma_baseline,chop,37,0.2592645939060079,15.376231405007983,91.38888505281712,12.290815680735871,37,66.9330622376192,246,11.0,55.0,33.0,37
244,77.68612578153883,21,14.592195930652473,11,1.8719534952964882,31,16.46414942594896,0,0.0,204,54.68710624756115,fx_sniper_ergodic_cci_signals,hieken_ashi_smoothed_signals,variance_volume_signals,kama_baseline,chop,28,0.21193165781297676,17.072952696947148,71.15125567351012,8.683121895051409,28,54.68710624756115,204,20.0,46.0,33.0,38
253,86.472870750042,24,6.510164633668666,13,11.93701826895972,35,12.447182902628418,0,0.0,207,62.684886042695396,kuskus_starlight_signals,volatility_quality_signals,waddah_attar_explosion_volume_signals,fantail_vma,chop,38,0.14394321357282303,15.6448710712872,75.13206894532382,5.806107934469824,38,62.684886042695396,207,13.0,53.0,33.0,39
