N,lookback,state,sep,surr,corr,share,run,diag,sep_autocorr,sep_range_to_path,sep_dir_changes,sep_mean_crossings
29,161.0,range,0.17889896335285216,0.16414757104256558,0.014751392310286576,0.326347199348315,18.0,0.9628161980241016,0.018933462371921783,-0.3324886660515554,0.04933033843110933,0.3148433865568221
30,167.0,trending,0.17310816626154524,0.17798390436091702,-0.004875738099371779,0.2823153975711373,30.0,0.9788029142067579,0.0026924917394057133,0.27923906859184344,-0.06355445130878631,-0.34694665340614556
30,167.0,drifting,0.023581098458636717,0.03530922872728375,-0.011728130268647035,0.3878556865526106,17.0,0.9559243764716641,-0.012748217766514544,0.057972619730658106,0.01339124435677084,0.01021231198060338
30,167.0,range,0.1700943348874402,0.15917896023446107,0.01091537465297912,0.3298289158762521,18.0,0.9631670923511224,0.011224996647058118,-0.31822782588155174,0.04387218209300005,0.30705233492815087
31,172.0,trending,0.16753224199032252,0.17560242914814983,-0.008070187157827313,0.28336586231369765,30.0,0.9787393931803238,0.007863652880476805,0.264883359994901,-0.060525789089784295,-0.33685616599612805
31,172.0,drifting,0.023238934531059456,0.03356278588530672,-0.010323851354247265,0.38741128459900637,17.0,0.9564789151796963,-0.022938920610690573,0.058658170465902625,0.00908938085114806,0.002269266196496558
31,172.0,range,0.16930995697312146,0.15584811059825995,0.013461846374861502,0.32922285308729593,18.0,0.9639064100490593,0.017420604707182076,-0.3066121728585501,0.04588863620434352,0.30731841412241007
32,178.0,trending,0.16617478552132486,0.16778316054315445,-0.001608375021829589,0.2826304324536657,30.0,0.9787388639666393,0.012242575628642635,0.2580541280018102,-0.0787495834260601,-0.3156528550287865
32,178.0,drifting,0.026768464328827526,0.032631432176771565,-0.005862967847944038,0.3876013284290969,18.0,0.9573541609068289,-0.028320596312407634,0.049347828523242564,0.024981180432054263,0.004424252047605642
32,178.0,range,0.15978075992953372,0.15219642869011638,0.007584331239417347,0.32976823911723746,19.0,0.9649569409088448,0.019184471660936394,-0.2897194226320572,0.045411124313201656,0.2848080211119396
33,184.0,trending,0.15487615860785947,0.16104191878308874,-0.006165760175229268,0.28191907638417274,30.0,0.9791402485417195,0.012169145041560725,0.23978910212414045,-0.07319630875736138,-0.2943500785083753
33,184.0,drifting,0.02690686818963832,0.030613485801398985,-0.0037066176117606653,0.39011509454194515,18.0,0.958071759153187,-0.01743381055187533,0.06746128906522446,0.016952394576808215,-0.00577997856464527
33,184.0,range,0.15656049472033312,0.1482281174004232,0.008332377319909934,0.3279658290738821,18.0,0.9648405560098119,0.007642386258296521,-0.2930697841014224,0.04893058717319107,0.27659922134842246
34,190.0,trending,0.15003626524931712,0.15503838929529462,-0.005002124045977496,0.28267773593007756,30.0,0.9792998670633665,0.020765690185793027,0.231052336816975,-0.0635523057026235,-0.2847747282918769
34,190.0,drifting,0.02418073697386635,0.03135271175172069,-0.007171974777854341,0.39069251482810136,18.0,0.9582226294090701,-0.02846020804787312,0.05548148687461652,0.008947046358187334,0.003834206614788416
34,190.0,range,0.14800504479689935,0.14295535943330095,0.0050496853635984,0.3266297492418211,18.0,0.9650675360968793,0.011659058179505775,-0.2730628373227063,0.04890684171561227,0.258391441969773
35,196.0,trending,0.1468301116811121,0.1498132921613967,-0.002983180480284592,0.2814165007265486,30.5,0.9796620975454255,0.025218171614995028,0.23286304108634165,-0.06063182062817958,-0.26860741339493216
35,196.0,drifting,0.019329542977081077,0.029735260213525804,-0.010405717236444727,0.39264122849505767,18.0,0.9590750177090236,-0.021859143189160473,0.04355678394404618,0.00840765082279282,0.003494593952324837
35,196.0,range,0.1380619548576569,0.13974727493626055,-0.0016853200786036415,0.3259422707783937,18.0,0.9656710254645561,0.0005151892359705334,-0.2616112819780025,0.04668117204194253,0.24344017617471203
36,201.0,trending,0.14978843880051945,0.14580224224749522,0.003986196553024235,0.2808409325726607,32.0,0.980515117581187,0.03752469032811875,0.22877023063207833,-0.07515258490850192,-0.2577062493333789
36,201.0,drifting,0.02720245525693032,0.029032859298646248,-0.0018304040417159266,0.39261488702214636,19.0,0.9598754835313237,-0.030740811154306973,0.048188791187103105,0.020385639049554944,-0.009494579636756257
36,201.0,range,0.13934401468389507,0.13848526415172377,0.0008587505321712985,0.32654418040519295,18.0,0.9657336305837668,-0.001128274656395236,-0.2623585198295665,0.04691482551452935,0.24697443873508923
37,208.0,trending,0.14932262521191647,0.14166996774546534,0.007652657466451135,0.2802781585973014,32.0,0.9801750772399588,0.03885046625968647,0.22298937864210563,-0.08153716811339262,-0.2539134878324811
