N,lookback,state,sep,surr,corr,share,run,diag,sep_autocorr,sep_range_to_path,sep_dir_changes,sep_mean_crossings
44,247.0,trending,0.15263908143775376,0.12018948348861948,0.03244959794913428,0.28544624143075503,33.0,0.9813692480359147,0.09874896399298784,0.1934304055696198,-0.10354698520298276,-0.21482997098542464
44,247.0,drifting,0.040486387930649445,0.029145872560274313,0.011340515370375132,0.3882497231298681,19.0,0.9622467988775438,-0.07782895194087862,0.021174223823995458,0.05183635231026846,0.011106023647455235
44,247.0,range,0.10932031916880691,0.11147472600777218,-0.00215440683896527,0.32630403543937686,20.0,0.9689087184667621,-0.00753400636500425,-0.20234975414732828,0.040069133250587786,0.1873283829123073
45,253.0,trending,0.15028983493739967,0.1177114801555986,0.03257835478180107,0.28568673902264335,32.0,0.9813570762752725,0.10049321298897637,0.19118637244997255,-0.10224242270321866,-0.20723733160743116
45,253.0,drifting,0.0411509431549099,0.02773453658977115,0.01341640656513875,0.386819826272198,19.0,0.9622699750682655,-0.06952766154400761,0.026389563946728936,0.05151650631276712,0.017170040816135934
45,253.0,range,0.10914697422620748,0.10983269238604215,-0.0006857181598346751,0.32749343470515857,21.0,0.9693986312128352,-0.018236115705103372,-0.2055685241612955,0.03925409651286436,0.1735291605255667
46,259.0,trending,0.14640274463207653,0.11527275256856075,0.031129992063515785,0.28553042838757126,32.0,0.9818410122669757,0.10358339019393283,0.185212642421056,-0.09921545170047369,-0.19759949421284367
46,259.0,drifting,0.042740619316200816,0.026414842405346323,0.016325776910854493,0.38870196727339584,20.0,0.9628586974521539,-0.07438565985957801,0.026561670623362444,0.056559629658985776,0.013455517122877046
46,259.0,range,0.10410776802728006,0.10723337251826198,-0.003125604490981926,0.3257676043390329,21.0,0.969312856416916,-0.01573607966718304,-0.20075884598282676,0.03096360444135061,0.1689725420177598
47,265.0,trending,0.15361679405787718,0.11353011972747933,0.04008667433039785,0.28571033669351126,34.0,0.9823260014190802,0.1160309202228377,0.18539096682770487,-0.1095670783918088,-0.20347821078915732
47,265.0,drifting,0.04431563071031229,0.024890351914449927,0.019425278795862363,0.38870869653354956,20.0,0.9633177625494985,-0.07567719252708593,0.017037124695669224,0.05610230595872591,0.028445899659768063
47,265.0,range,0.10403689193354257,0.1065491207432566,-0.002512228809714037,0.3255809667729392,21.0,0.9694498711741556,-0.025947973904022592,-0.19074242773291694,0.041123134625130946,0.1583340314720998
48,270.0,trending,0.15359126199758627,0.11017112148893661,0.04342014050864966,0.28722099809158547,34.0,0.9824730354391371,0.11578350836007,0.19025266625140463,-0.10601727495895918,-0.2023115984199113
48,270.0,drifting,0.04775186201231861,0.02548045914926179,0.02227140286305682,0.38630182451805617,20.0,0.9635968681371145,-0.07423747850755268,0.020478527010908493,0.05883344026398874,0.03745800226682452
