date,open,high,low,close
2009-09-24,1.025100,1.025100,1.025100,1.025100
2009-09-27,1.031800,1.032700,1.031600,1.032400
2009-09-28,1.036200,1.036500,1.035400,1.035400
2009-09-29,1.035800,1.035800,1.034300,1.034600
2009-09-30,1.040500,1.042800,1.040500,1.042300
2009-10-01,1.040200,1.040200,1.034400,1.034400
2009-10-04,1.032000,1.032000,1.031000,1.031200
2009-10-05,1.027000,1.027000,1.025600,1.026800
2009-10-06,1.032900,1.032900,1.030700,1.031400
2009-10-07,1.027100,1.027700,1.026500,1.027400
2009-10-08,1.031600,1.031600,1.031600,1.031600
2009-10-11,1.026000,1.026100,1.024800,1.025600
2009-10-12,1.021700,1.022500,1.021600,1.022000
2009-10-13,1.014700,1.014700,1.013900,1.014200
2009-10-14,1.015000,1.015500,1.013800,1.013800
2009-10-15,1.018000,1.018000,1.018000,1.018000
2009-10-18,1.011400,1.011600,1.010600,1.011400
2009-10-19,1.012300,1.012800,1.012100,1.012200
2009-10-20,1.005200,1.006200,1.005100,1.006200
2009-10-21,1.004700,1.004700,1.003900,1.004000
2009-10-22,1.008300,1.008300,1.008300,1.008300
2009-10-26,1.008700,1.019900,1.005400,1.018800
2009-10-27,1.018900,1.024600,1.014800,1.020800
2009-10-28,1.020300,1.027500,1.019100,1.026200
2009-10-29,1.026200,1.028300,1.016700,1.018100
2009-10-30,1.018200,1.027200,1.015500,1.026500
2009-11-02,1.026200,1.026200,1.016600,1.021900
2009-11-03,1.021900,1.033600,1.019600,1.025500
2009-11-04,1.025900,1.027400,1.013000,1.015500
2009-11-05,1.015900,1.019200,1.013300,1.015900
2009-11-06,1.016000,1.019700,1.012600,1.017000
2009-11-09,1.016300,1.017100,1.005400,1.007200
2009-11-10,1.007400,1.010500,1.006000,1.007300
2009-11-11,1.006800,1.009800,1.003500,1.007900
2009-11-12,1.008000,1.019100,1.005800,1.016500
2009-11-13,1.016600,1.018100,1.010400,1.012400
2009-11-16,1.008500,1.013300,1.004600,1.007000
2009-11-17,1.007100,1.020700,1.006000,1.015800
2009-11-18,1.015900,1.016400,1.007600,1.010100
2009-11-19,1.010300,1.019200,1.010100,1.013300
2009-11-20,1.013600,1.022000,1.012100,1.016600
2009-11-23,1.016600,1.016900,1.007200,1.009800
2009-11-24,1.010000,1.015000,1.007600,1.008400
2009-11-25,1.008500,1.009000,0.995500,0.997000
2009-11-26,0.997200,1.007100,0.991900,1.004900
2009-11-27,1.004800,1.017300,1.003100,1.005300
2009-11-30,1.005300,1.006800,0.999200,1.003100
2009-12-01,1.003500,1.007400,0.996800,0.998800
2009-12-02,0.998800,1.002400,0.997600,1.000500
2009-12-03,1.000300,1.001800,0.996200,0.999900
2009-12-04,0.999800,1.018900,0.998500,1.016400
2009-12-07,1.015200,1.024200,1.013500,1.018400
2009-12-08,1.018900,1.029000,1.016300,1.027800
2009-12-09,1.027400,1.029600,1.021800,1.025800
2009-12-10,1.025800,1.029700,1.023700,1.025800
2009-12-11,1.026100,1.036500,1.023400,1.035100
2009-12-14,1.033800,1.035300,1.029400,1.031400
2009-12-15,1.031400,1.042800,1.031400,1.039900
2009-12-16,1.040000,1.042400,1.034500,1.039000
2009-12-17,1.038800,1.050600,1.038400,1.046400
2009-12-18,1.046500,1.047600,1.038600,1.042900
2009-12-21,1.040200,1.048000,1.039200,1.045400
2009-12-22,1.045400,1.050100,1.044100,1.048100
2009-12-23,1.048400,1.049700,1.035900,1.039000
2009-12-24,1.039000,1.039400,1.031900,1.036900
2009-12-25,1.036900,1.037900,1.031700,1.034200
2009-12-28,1.036700,1.038600,1.032600,1.035400
2009-12-29,1.035400,1.038200,1.027900,1.037500
2009-12-30,1.037700,1.041800,1.035100,1.036100
2009-12-31,1.036100,1.038100,1.028500,1.034200
2010-01-01,1.034200,1.038100,1.033900,1.033900
2010-01-04,1.036000,1.041500,1.026700,1.029100
2010-01-05,1.028900,1.035800,1.025100,1.033700
2010-01-06,1.033500,1.037800,1.025000,1.027600
2010-01-07,1.027500,1.036700,1.024200,1.033600
2010-01-08,1.033400,1.038200,1.021800,1.023600
2010-01-11,1.020300,1.020300,1.013100,1.016700
2010-01-12,1.016700,1.020600,1.014700,1.018800
2010-01-13,1.018700,1.021400,1.013900,1.017600
2010-01-14,1.017500,1.022800,1.015800,1.018600
2010-01-15,1.018600,1.028220,1.018400,1.024900
2010-01-18,1.026400,1.028900,1.023400,1.023600
2010-01-19,1.024200,1.035200,1.023000,1.032600
2010-01-20,1.032700,1.046100,1.032300,1.043600
2010-01-21,1.043500,1.049300,1.040600,1.041600
2010-01-22,1.042500,1.044000,1.037400,1.041800
2010-01-25,1.041000,1.042300,1.036700,1.040000
2010-01-26,1.040000,1.048880,1.037700,1.045900
2010-01-27,1.045900,1.052100,1.044700,1.049700
2010-01-28,1.049800,1.054700,1.047800,1.051800
2010-01-29,1.051800,1.063100,1.048200,1.060800
2010-02-01,1.060500,1.062200,1.055200,1.056400
2010-02-02,1.056800,1.060500,1.054000,1.054700
2010-02-03,1.054600,1.059800,1.049800,1.058100
2010-02-04,1.058200,1.067200,1.057800,1.065600
2010-02-05,1.065600,1.079400,1.064700,1.072200
2010-02-08,1.075200,1.077000,1.068300,1.072800
2010-02-09,1.073300,1.074500,1.060800,1.065200
2010-02-10,1.065500,1.071800,1.061900,1.066400
2010-02-11,1.066400,1.078000,1.062600,1.070700
2010-02-12,1.070600,1.082600,1.070400,1.075100
2010-02-15,1.075400,1.080100,1.075200,1.077000
2010-02-16,1.077500,1.078700,1.065400,1.065800
2010-02-17,1.065800,1.079400,1.064600,1.077580
2010-02-18,1.077400,1.088940,1.074800,1.087700
2010-02-19,1.087200,1.089700,1.075200,1.075800
2010-02-22,1.075100,1.078300,1.073600,1.075500
2010-02-23,1.075200,1.084600,1.071400,1.082200
2010-02-24,1.082100,1.083970,1.074200,1.080800
2010-02-25,1.080600,1.087700,1.078300,1.081100
2010-02-26,1.081000,1.081000,1.069700,1.073300
2010-03-01,1.072900,1.086800,1.071900,1.079000
2010-03-02,1.079100,1.087900,1.074100,1.074100
2010-03-03,1.074400,1.076100,1.064800,1.067500
2010-03-04,1.067700,1.079300,1.066600,1.077000
2010-03-05,1.076900,1.080800,1.073400,1.075100
2010-03-08,1.072700,1.074700,1.067400,1.074000
2010-03-09,1.073700,1.080220,1.072400,1.074300
2010-03-10,1.074200,1.079000,1.068600,1.070500
2010-03-11,1.070370,1.072800,1.067700,1.068200
2010-03-12,1.068200,1.069400,1.056700,1.056700
2010-03-15,1.058000,1.063900,1.058000,1.061500
2010-03-16,1.061700,1.062300,1.053400,1.055100
2010-03-17,1.055100,1.056200,1.050500,1.054200
2010-03-18,1.054000,1.064400,1.053440,1.057000
2010-03-19,1.057400,1.063200,1.053900,1.060400
2010-03-22,1.061000,1.065890,1.056200,1.057570
2010-03-23,1.057700,1.063400,1.054750,1.057100
2010-03-24,1.056900,1.073600,1.055800,1.071700
2010-03-25,1.071700,1.074920,1.067400,1.071600
2010-03-26,1.071700,1.072600,1.063760,1.064700
2010-03-28,1.063400,1.069000,1.059240,1.062400
2010-03-29,1.062530,1.067700,1.058700,1.065800
2010-03-30,1.065600,1.068200,1.049200,1.053660
2010-03-31,1.053600,1.059900,1.043400,1.054450
2010-04-01,1.054320,1.064200,1.053800,1.061000
2010-04-04,1.060800,1.064200,1.058400,1.062200
2010-04-05,1.062000,1.072000,1.061200,1.068640
2010-04-06,1.068800,1.074620,1.067990,1.073300
2010-04-07,1.073410,1.078400,1.071400,1.073150
2010-04-08,1.073000,1.076000,1.065500,1.066200
2010-04-11,1.058300,1.061400,1.055200,1.059400
2010-04-12,1.058800,1.060200,1.053200,1.054400
2010-04-13,1.053900,1.055700,1.050100,1.051360
2010-04-14,1.051200,1.061090,1.050500,1.056400
2010-04-15,1.056300,1.063000,1.056000,1.061300
2010-04-18,1.061800,1.068900,1.061600,1.062900
2010-04-19,1.063080,1.068800,1.060200,1.068300
2010-04-20,1.068100,1.072100,1.065800,1.070000
2010-04-21,1.070100,1.079800,1.067270,1.079800
2010-04-22,1.079900,1.084800,1.071500,1.071900
2010-04-25,1.072900,1.078350,1.070000,1.071110
2010-04-26,1.070900,1.089900,1.070200,1.087740
2010-04-27,1.087700,1.092300,1.081650,1.084800
2010-04-28,1.085000,1.086800,1.080800,1.081700
2010-04-29,1.081600,1.084400,1.074600,1.075600
2010-05-02,1.076300,1.088480,1.075740,1.085400
2010-05-03,1.085000,1.104850,1.084000,1.104830
2010-05-04,1.104400,1.119690,1.102240,1.117800
2010-05-05,1.117800,1.124390,1.102000,1.113700
2010-05-06,1.114000,1.117400,1.105800,1.110000
2010-05-09,1.102810,1.111340,1.092000,1.109500
2010-05-10,1.109730,1.113100,1.103680,1.111650
2010-05-11,1.111100,1.113740,1.106000,1.110100
2010-05-12,1.110450,1.119150,1.107800,1.117200
2010-05-13,1.117000,1.133500,1.115000,1.133200
2010-05-16,1.132100,1.144200,1.129600,1.131690
2010-05-17,1.131900,1.151300,1.126800,1.149800
2010-05-18,1.149200,1.158200,1.143410,1.152320
2010-05-19,1.152700,1.156960,1.145200,1.150000
2010-05-20,1.149500,1.157890,1.145100,1.147900
2010-05-23,1.150800,1.161600,1.149350,1.159180
2010-05-24,1.159210,1.169320,1.152200,1.157200
2010-05-25,1.157280,1.162300,1.151300,1.159900
2010-05-26,1.160020,1.165200,1.148600,1.153000
2010-05-27,1.153000,1.159500,1.148000,1.159100
2010-05-30,1.158300,1.158300,1.154000,1.156300
2010-05-31,1.156200,1.173040,1.147480,1.155500
2010-06-01,1.155400,1.160000,1.152600,1.155200
2010-06-02,1.155600,1.157000,1.149800,1.156100
2010-06-03,1.156210,1.164200,1.144900,1.162100
2010-06-06,1.163210,1.167100,1.158540,1.162700
2010-06-07,1.162600,1.163740,1.148700,1.152400
2010-06-08,1.152500,1.155240,1.141570,1.147880
2010-06-09,1.148000,1.150200,1.139800,1.143280
2010-06-10,1.143200,1.154000,1.140800,1.148900
2010-06-13,1.145750,1.146500,1.135000,1.142760
2010-06-14,1.142850,1.147600,1.129200,1.133800
2010-06-15,1.133700,1.133800,1.125000,1.130600
2010-06-16,1.130530,1.132900,1.109780,1.111500
2010-06-17,1.111600,1.112800,1.107700,1.108000
2010-06-20,1.105400,1.113510,1.100500,1.110500
2010-06-21,1.110330,1.111800,1.103600,1.107400
2010-06-22,1.107400,1.113400,1.102260,1.104500
2010-06-23,1.104550,1.106590,1.098700,1.101600
2010-06-24,1.101700,1.104430,1.092000,1.092400
2010-06-27,1.092600,1.093500,1.081800,1.087100
2010-06-28,1.087260,1.090100,1.080090,1.081990
2010-06-29,1.081600,1.085150,1.075800,1.077800
2010-06-30,1.077850,1.078700,1.057600,1.060800
2010-07-01,1.061000,1.069200,1.058920,1.061800
2010-07-04,1.063700,1.067250,1.061800,1.063800
2010-07-05,1.064100,1.066500,1.056100,1.059700
2010-07-06,1.060005,1.063500,1.050800,1.052000
2010-07-07,1.052000,1.056200,1.048140,1.049600
2010-07-08,1.049600,1.058800,1.048800,1.057900
2010-07-11,1.055190,1.067500,1.054500,1.061060
2010-07-12,1.061000,1.064370,1.051500,1.054500
2010-07-13,1.054590,1.061430,1.050800,1.052000
2010-07-14,1.052000,1.054500,1.040000,1.042000
2010-07-15,1.042250,1.053840,1.040000,1.050300
2010-07-18,1.049530,1.055870,1.045000,1.055000
2010-07-19,1.054845,1.054930,1.045300,1.051600
2010-07-20,1.051600,1.054100,1.048770,1.050100
2010-07-21,1.049900,1.051200,1.039400,1.042300
2010-07-22,1.042500,1.056200,1.040600,1.053100
2010-07-25,1.053800,1.055200,1.045930,1.048510
2010-07-26,1.048760,1.063770,1.048180,1.060700
2010-07-27,1.048760,1.062125,1.053780,1.056800
2010-07-28,1.056700,1.057710,1.037600,1.040100
2010-07-29,1.040410,1.046100,1.036100,1.040800
2010-08-01,1.040300,1.047380,1.034800,1.039200
2010-08-02,1.039200,1.041100,1.034880,1.039430
2010-08-03,1.039400,1.052600,1.038000,1.039400
2010-08-04,1.053100,1.054100,1.041400,1.053400
2010-08-05,1.046000,1.049890,1.033200,1.046000
2010-08-08,1.038200,1.046900,1.037600,1.037900
2010-08-09,1.048500,1.061600,1.048500,1.048200
2010-08-10,1.047600,1.060000,1.047500,1.047700
2010-08-11,1.059600,1.060440,1.046300,1.059780
2010-08-12,1.049800,1.054680,1.048000,1.049800
2010-08-15,1.050300,1.053100,1.035000,1.050340
