date,open,high,low,close,suspect,suspect_spike,suspect_flat
2010-01-06,0.993900,0.997900,0.992900,0.995300,False,False,False
2010-01-07,0.995400,1.003200,0.992800,0.999000,False,False,False
2010-01-08,0.998600,1.004800,0.990700,0.993300,False,False,False
2010-01-11,0.992000,0.992600,0.981400,0.982800,False,False,False
2010-01-12,0.982900,0.986200,0.977400,0.979800,False,False,False
2010-01-13,0.979800,0.988400,0.978900,0.986500,False,False,False
2010-01-14,0.986300,0.995600,0.985500,0.994800,False,False,False
2010-01-15,0.994900,1.001700,0.994200,0.995200,False,False,False
2010-01-18,0.996600,1.000000,0.996400,0.997900,False,False,False
2010-01-19,0.998400,1.004200,0.996800,1.000800,False,False,False
2010-01-20,1.000600,1.003600,0.995600,0.997800,False,False,False
2010-01-21,0.997900,0.999900,0.989900,0.990900,False,False,False
2010-01-22,0.991400,0.993400,0.982200,0.983500,False,False,False
2010-01-25,0.984800,0.987400,0.980400,0.983400,False,False,False
2010-01-26,0.983400,0.986600,0.978400,0.984200,False,False,False
2010-01-27,0.984300,0.987300,0.981100,0.986300,False,False,False
2010-01-28,0.986400,0.995000,0.985000,0.985900,False,False,False
2010-01-29,0.986300,0.996200,0.982300,0.990300,False,False,False
2010-02-01,0.992200,0.995600,0.987300,0.995000,False,False,False
2010-02-02,0.994700,0.999600,0.992900,0.997200,False,False,False
2010-02-03,0.997200,1.000100,0.993100,0.996200,False,False,False
2010-02-04,0.996200,0.999900,0.991600,0.993500,False,False,False
2010-02-05,0.993600,1.006300,0.991200,1.000600,False,False,False
2010-02-08,1.003300,1.005900,0.996300,0.997700,False,False,False
2010-02-09,0.998100,1.001000,0.993500,0.997500,False,False,False
2010-02-10,0.997800,1.006500,0.996600,1.003400,False,False,False
2010-02-11,1.003800,1.022000,1.003800,1.018700,False,False,False
2010-02-12,1.019100,1.026900,1.017900,1.023100,False,False,False
2010-02-15,1.023200,1.029900,1.023000,1.026300,False,False,False
2010-02-16,1.026300,1.029200,1.019800,1.021100,False,False,False
2010-02-17,1.021200,1.031200,1.019200,1.029400,False,False,False
2010-02-18,1.029600,1.036700,1.029100,1.035000,False,False,False
2010-02-19,1.035000,1.038700,1.029500,1.034100,False,False,False
2010-02-22,1.034400,1.037200,1.030300,1.031500,False,False,False
2010-02-23,1.031600,1.036700,1.023100,1.025500,False,False,False
2010-02-24,1.025600,1.026400,1.020000,1.026400,False,False,False
2010-02-25,1.026500,1.029100,1.013800,1.018300,False,False,False
2010-02-26,1.018200,1.021400,1.013200,1.019600,False,False,False
2010-03-01,1.020000,1.038800,1.019500,1.035500,False,False,False
2010-03-02,1.035700,1.046800,1.034100,1.037800,False,False,False
2010-03-03,1.037700,1.040200,1.033600,1.034000,False,False,False
2010-03-04,1.034100,1.047300,1.033700,1.043700,False,False,False
2010-03-05,1.043800,1.050000,1.040700,1.043300,False,False,False
2010-03-08,1.044600,1.045100,1.038800,1.044200,False,False,False
2010-03-09,1.044400,1.050900,1.043000,1.046000,False,False,False
2010-03-10,1.045900,1.049200,1.041900,1.043600,False,False,False
2010-03-11,1.043400,1.045200,1.038300,1.042800,False,False,False
2010-03-12,1.043200,1.043500,1.034400,1.037100,False,False,False
2010-03-15,1.040500,1.042200,1.038500,1.041200,False,False,False
2010-03-16,1.041400,1.042100,1.038300,1.040600,False,False,False
2010-03-17,1.040600,1.044600,1.037500,1.042900,False,False,False
2010-03-18,1.043000,1.049100,1.040100,1.042500,False,False,False
2010-03-19,1.042700,1.053200,1.035600,1.042400,False,False,False
2010-03-22,1.043200,1.045300,1.035400,1.039600,False,False,False
2010-03-23,1.039700,1.042100,1.035900,1.039400,False,False,False
2010-03-24,1.039500,1.049000,1.038500,1.046400,False,False,False
2010-03-25,1.046700,1.052000,1.045500,1.046500,False,False,False
2010-03-26,1.046900,1.049400,1.033300,1.037200,False,False,False
2010-03-29,1.039900,1.048400,1.038300,1.045700,False,False,False
2010-03-30,1.045300,1.049200,1.032400,1.036700,False,False,False
2010-03-31,1.037000,1.052300,1.035000,1.045100,False,False,False
2010-04-01,1.045000,1.053400,1.042100,1.048600,False,False,False
2010-04-02,1.051800,1.060400,1.040100,1.060000,False,False,False
2010-04-05,1.059500,1.071000,1.058900,1.067400,False,False,False
2010-04-06,1.067000,1.072700,1.066100,1.068100,False,False,False
2010-04-07,1.068400,1.071000,1.063800,1.070800,False,False,False
2010-04-08,1.070900,1.072000,1.058800,1.062600,False,False,False
2010-04-09,1.054800,1.058400,1.048700,1.056000,False,False,False
2010-04-12,1.055700,1.056400,1.050500,1.052200,False,False,False
2010-04-13,1.052000,1.059000,1.050300,1.052800,False,False,False
2010-04-14,1.052800,1.060900,1.052000,1.053900,False,False,False
2010-04-15,1.054000,1.057600,1.044500,1.047200,False,False,False
2010-04-16,1.045200,1.050000,1.043200,1.047300,False,False,False
2010-04-19,1.047400,1.070800,1.046500,1.070100,False,False,False
2010-04-20,1.069700,1.075400,1.068400,1.070700,False,False,False
2010-04-21,1.070800,1.078300,1.069500,1.077600,False,False,False
2010-04-22,1.077600,1.082000,1.068400,1.073100,False,False,False
2010-04-23,1.073400,1.078500,1.069000,1.070200,False,False,False
2010-04-26,1.070200,1.076900,1.064300,1.070400,False,False,False
2010-04-27,1.070100,1.078100,1.066600,1.073300,False,False,False
2010-04-28,1.073700,1.081200,1.072700,1.077100,False,False,False
2010-04-29,1.076800,1.079300,1.057100,1.057700,False,False,False
2010-04-30,1.059000,1.074800,1.058300,1.073200,False,False,False
2010-05-03,1.073000,1.077600,1.069500,1.077600,False,False,False
2010-05-04,1.077200,1.085400,1.074800,1.084100,False,False,False
2010-05-05,1.083900,1.086400,1.038800,1.058500,False,False,False
2010-05-06,1.058600,1.072700,1.054800,1.061100,False,False,False
2010-05-07,1.062900,1.085000,1.061900,1.082700,False,False,False
2010-05-10,1.082600,1.091500,1.078900,1.087500,False,False,False
2010-05-11,1.087400,1.093100,1.085400,1.089200,False,False,False
2010-05-12,1.089300,1.099900,1.088300,1.093400,False,False,False
2010-05-13,1.093300,1.097900,1.088000,1.093800,False,False,False
2010-05-14,1.094000,1.099500,1.090300,1.094900,False,False,False
2010-05-17,1.094900,1.106500,1.093600,1.104300,False,False,False
2010-05-18,1.104100,1.105900,1.092200,1.103700,False,False,False
2010-05-19,1.103800,1.106000,1.073100,1.073100,False,False,False
2010-05-20,1.072600,1.088600,1.067800,1.084000,False,False,False
2010-05-21,1.082200,1.096600,1.079000,1.090300,False,False,False
2010-05-24,1.090400,1.090700,1.073500,1.083200,False,False,False
2010-05-25,1.083100,1.093000,1.078900,1.083500,False,False,False
2010-05-26,1.083800,1.104700,1.081400,1.097700,False,False,False
2010-05-27,1.097300,1.102800,1.096400,1.098700,False,False,False
2010-05-28,1.097700,1.109300,1.096600,1.108000,False,False,False
2010-05-31,1.107900,1.113600,1.094500,1.095600,False,False,False
2010-06-01,1.095600,1.113800,1.094800,1.112000,False,False,False
2010-06-02,1.112000,1.114400,1.105000,1.110300,False,False,False
2010-06-03,1.110400,1.111600,1.093000,1.093100,False,False,False
2010-06-04,1.092700,1.103600,1.090700,1.096800,False,False,False
2010-06-07,1.097100,1.103300,1.088400,1.098800,False,False,False
2010-06-08,1.099000,1.102800,1.095300,1.100000,False,False,False
2010-06-09,1.099900,1.110700,1.098000,1.108000,False,False,False
