Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
76,Entry long,2012-10-17,1.605875282,1.61394,172084,277733.251,-1598.66,-0.58,0,519.69,0.19,-1719.12,-0.62,35793.43,3.58,1
77,Exit long,2013-05-01,SL/TP 1,1.56034,119969,185155.3558,2037.07,1.10,0,2037.07,1.10,-194.35,-0.10,37830.5,3.78,4
77,Entry long,2013-04-25,1.5320409501,1.54336,119969,185155.3558,2037.07,1.10,0,2037.07,1.10,-194.35,-0.10,37830.5,3.78,4
78,Exit long,2013-05-09,Exit Long 2,1.54461,119969,185155.3558,149.96,0.08,0,2050.27,1.11,-194.35,-0.10,37980.46,3.80,10
78,Entry long,2013-04-25,1.5320409501,1.54336,119969,185155.3558,149.96,0.08,0,2050.27,1.11,-194.35,-0.10,37980.46,3.80,10
79,Exit long,2014-02-17,SL/TP 1,1.67672,131560,218518.5288,2070.75,0.95,0,2070.75,0.95,-147.35,-0.07,40051.22,4.01,3
79,Entry long,2014-02-12,1.650491997,1.66098,131560,218518.5288,2070.75,0.95,0,2070.75,0.95,-147.35,-0.07,40051.22,4.01,3
80,Exit long,2014-03-10,Exit Long 2,1.66441,131560,218518.5288,451.25,0.21,0,2783.81,1.27,-363.11,-0.17,40502.47,4.05,18
80,Entry long,2014-02-12,1.650491997,1.66098,131560,218518.5288,451.25,0.21,0,2783.81,1.27,-363.11,-0.17,40502.47,4.05,18
81,Exit long,2014-05-22,BL Exit Long 1,1.6866,202091,341489.33,-642.65,-0.19,0,373.87,0.11,-961.95,-0.28,39859.82,3.99,1
81,Entry long,2014-05-21,1.6828275646,1.68978,202091,341489.33,-642.65,-0.19,0,373.87,0.11,-961.95,-0.28,39859.82,3.99,1
82,Exit long,2014-05-22,BL Exit Long 2,1.6866,202091,341489.33,-642.65,-0.19,0,373.87,0.11,-961.95,-0.28,39217.17,3.92,1
82,Entry long,2014-05-21,1.6828275646,1.68978,202091,341489.33,-642.65,-0.19,0,373.87,0.11,-961.95,-0.28,39217.17,3.92,1
83,Exit short,2015-01-02,SL/TP 1,1.53909,117410,182793.2808,2088.72,1.14,0,2088.72,1.14,-1330.26,-0.73,41305.89,4.13,11
83,Entry short,2014-12-17,1.5687373354,1.55688,117410,182793.2808,2088.72,1.14,0,2088.72,1.14,-1330.26,-0.73,41305.89,4.13,11
84,Exit short,2015-01-27,BL Exit Short 2,1.51865,117410,182793.2808,4488.58,2.46,0,7253.59,3.97,-1330.26,-0.73,45794.48,4.58,28
84,Entry short,2014-12-17,1.5687373354,1.55688,117410,182793.2808,4488.58,2.46,0,7253.59,3.97,-1330.26,-0.73,45794.48,4.58,28
85,Exit long,2015-08-25,SL/TP 1,1.58076,137020,214407.5258,2188.21,1.02,0,2188.21,1.02,-1172.89,-0.55,47982.69,4.80,7
85,Entry long,2015-08-14,1.554149651,1.56479,137020,214407.5258,2188.21,1.02,0,2188.21,1.02,-1172.89,-0.55,47982.69,4.80,7
86,Exit long,2015-08-26,Exit Long 2,1.54678,137020,214407.5258,-2467.73,-1.15,0,2337.56,1.09,-2677.37,-1.25,45514.96,4.55,8
86,Entry long,2015-08-14,1.554149651,1.56479,137020,214407.5258,-2467.73,-1.15,0,2337.56,1.09,-2677.37,-1.25,45514.96,4.55,8
87,Exit short,2015-12-02,SL/TP 1,1.49744,149060,225392.1354,2183.73,0.97,0,2183.73,0.97,-514.26,-0.23,47698.69,4.77,7
87,Entry short,2015-11-23,1.5218521262,1.51209,149060,225392.1354,2183.73,0.97,0,2183.73,0.97,-514.26,-0.23,47698.69,4.77,7
88,Exit short,2015-12-09,Exit Short 2,1.51795,149060,225392.1354,-873.49,-0.39,0,3368.76,1.49,-1047.89,-0.46,46825.2,4.68,12
88,Entry short,2015-11-23,1.5218521262,1.51209,149060,225392.1354,-873.49,-0.39,0,3368.76,1.49,-1047.89,-0.46,46825.2,4.68,12
89,Exit short,2015-12-22,SL/TP 1,1.48084,128081,191870.4612,2202.99,1.15,0,2202.99,1.15,-297.15,-0.15,49028.19,4.90,4
89,Entry short,2015-12-16,1.509503466,1.49804,128081,191870.4612,2202.99,1.15,0,2202.99,1.15,-297.15,-0.15,49028.19,4.90,4
90,Exit short,2016-01-28,Exit Short 2,1.43568,128081,191870.4612,7987.13,4.16,0,11542.66,6.02,-297.15,-0.15,57015.32,5.70,29
90,Entry short,2015-12-16,1.509503466,1.49804,128081,191870.4612,7987.13,4.16,0,11542.66,6.02,-297.15,-0.15,57015.32,5.70,29
91,Exit short,2016-02-22,SL/TP 1,1.40722,101037,144537.47,2356.18,1.63,0,2356.18,1.63,-899.23,-0.62,59371.5,5.94,4
91,Entry short,2016-02-16,1.4460803061,1.43054,101037,144537.47,2356.18,1.63,0,2356.18,1.63,-899.23,-0.62,59371.5,5.94,4
92,Exit short,2016-03-03,Exit Short 2,1.41708,101037,144537.47,1359.96,0.94,0,4744.7,3.28,-899.23,-0.62,60731.46,6.07,12
92,Entry short,2016-02-16,1.4460803061,1.43054,101037,144537.47,1359.96,0.94,0,4744.7,3.28,-899.23,-0.62,60731.46,6.07,12
93,Exit short,2016-04-18,Exit Short 1,1.42746,113117,160641.9764,-828.02,-0.52,0,1256.73,0.78,-1005.61,-0.63,59903.45,5.99,3
93,Entry short,2016-04-13,1.4343492242,1.42014,113117,160641.9764,-828.02,-0.52,0,1256.73,0.78,-1005.61,-0.63,59903.45,5.99,3
94,Exit short,2016-04-18,Exit Short 2,1.42746,113117,160641.9764,-828.02,-0.52,0,1256.73,0.78,-1005.61,-0.63,59075.43,5.91,3
94,Entry short,2016-04-13,1.4343492242,1.42014,113117,160641.9764,-828.02,-0.52,0,1256.73,0.78,-1005.61,-0.63,59075.43,5.91,3
95,Exit short,2016-08-18,Exit Short 1,1.31601,82808,108567.9126,-408.24,-0.38,0,2028.8,1.87,-529.97,-0.49,58667.18,5.87,10
95,Entry short,2016-08-04,1.3302901622,1.31108,82808,108567.9126,-408.24,-0.38,0,2028.8,1.87,-529.97,-0.49,58667.18,5.87,10
96,Exit short,2016-08-18,Exit Short 2,1.31601,82808,108567.9126,-408.24,-0.38,0,2028.8,1.87,-529.97,-0.49,58258.94,5.83,10
96,Entry short,2016-08-04,1.3302901622,1.31108,82808,108567.9126,-408.24,-0.38,0,2028.8,1.87,-529.97,-0.49,58258.94,5.83,10
97,Exit short,2016-11-21,SL/TP 1,1.24864,120249,148564.032,-1583.68,-1.07,0,520.68,0.35,-1583.68,-1.07,56675.26,5.67,1
97,Entry short,2016-11-18,1.2486309582,1.23547,120249,148564.032,-1583.68,-1.07,0,520.68,0.35,-1583.68,-1.07,56675.26,5.67,1
98,Exit short,2016-11-21,BL Exit Short 2,1.24821,120249,148564.032,-1531.97,-1.03,0,520.68,0.35,-1869.87,-1.26,55143.29,5.51,1
98,Entry short,2016-11-18,1.2486309582,1.23547,120249,148564.032,-1531.97,-1.03,0,520.68,0.35,-1869.87,-1.26,55143.29,5.51,1
99,Exit short,2016-11-24,BL Exit Short 1,1.24483,115843,143889.7487,-315.09,-0.22,0,230.53,0.16,-839.86,-0.58,54828.2,5.48,1
99,Entry short,2016-11-23,1.2555025019,1.24211,115843,143889.7487,-315.09,-0.22,0,230.53,0.16,-839.86,-0.58,54828.2,5.48,1
100,Exit short,2016-11-24,BL Exit Short 2,1.24483,115843,143889.7487,-315.09,-0.22,0,230.53,0.16,-839.86,-0.58,54513.11,5.45,1
100,Entry short,2016-11-23,1.2555025019,1.24211,115843,143889.7487,-315.09,-0.22,0,230.53,0.16,-839.86,-0.58,54513.11,5.45,1
101,Exit long,2017-06-08,SL/TP 1,1.28742,173697,225166.895,-1545.9,-0.69,0,248.39,0.11,-1545.9,-0.69,52967.2,5.30,1
101,Entry long,2017-06-07,1.2874244764,1.29632,173697,225166.895,-1545.9,-0.69,0,248.39,0.11,-1545.9,-0.69,52967.2,5.30,1
102,Exit long,2017-06-08,Exit Long 2,1.27237,173697,225166.895,-4160.04,-1.85,0,248.39,0.11,-4510.91,-2.00,48807.16,4.88,1
102,Entry long,2017-06-07,1.2874244764,1.29632,173697,225166.895,-4160.04,-1.85,0,248.39,0.11,-4510.91,-2.00,48807.16,4.88,1
103,Exit short,2017-11-06,SL/TP 1,1.31702,127147,165966.2506,-1488.89,-0.90,0,179.28,0.11,-1488.89,-0.90,47318.27,4.73,2
103,Entry short,2017-11-02,1.3170135531,1.30531,127147,165966.2506,-1488.89,-0.90,0,179.28,0.11,-1488.89,-0.90,47318.27,4.73,2
104,Exit short,2017-11-10,BL Exit Short 2,1.31969,127147,165966.2506,-1828.37,-1.10,0,179.28,0.11,-2241.6,-1.35,45489.9,4.55,6
