Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
101,Entry long,2018-06-06,109.4420265606,110.134,1446,159253.764,-5.5,-0.38,0,1.12,0.08,-8.69,-0.60,71.81,0.01,1
102,Exit long,2018-06-07,BL Exit Long 2,109.716,1446,159253.764,-5.5,-0.38,0,1.12,0.08,-8.69,-0.60,66.31,0.01,1
102,Entry long,2018-06-06,109.4420265606,110.134,1446,159253.764,-5.5,-0.38,0,1.12,0.08,-8.69,-0.60,66.31,0.01,1
103,Exit long,2018-06-19,SL/TP 1,109.663,1380,152336.82,-9.05,-0.66,0,6.41,0.46,-9.05,-0.66,57.26,0.01,6
103,Entry long,2018-06-11,109.6637774612,110.389,1380,152336.82,-9.05,-0.66,0,6.41,0.46,-9.05,-0.66,57.26,0.01,6
104,Exit long,2018-06-22,BL Exit Long 2,109.974,1380,152336.82,-5.19,-0.38,0,6.41,0.46,-10.48,-0.76,52.07,0.01,9
104,Entry long,2018-06-11,109.6637774612,110.389,1380,152336.82,-5.19,-0.38,0,6.41,0.46,-10.48,-0.76,52.07,0.01,9
105,Exit long,2018-09-20,SL/TP 1,112.562,1609,179611.061,13.36,0.84,0,13.36,0.84,-7.51,-0.46,65.42,0.01,7
105,Entry long,2018-09-11,111.0071146796,111.629,1609,179611.061,13.36,0.84,0,13.36,0.84,-7.51,-0.46,65.42,0.01,7
106,Exit long,2018-10-08,Exit Long 2,113.122,1609,179611.061,21.09,1.34,0,41.19,2.61,-7.51,-0.46,86.51,0.01,19
106,Entry long,2018-09-11,111.0071146796,111.629,1609,179611.061,21.09,1.34,0,41.19,2.61,-7.51,-0.46,86.51,0.01,19
107,Exit long,2018-12-17,SL/TP 1,112.979,1700,193065.6,-8.83,-0.52,0,1.57,0.09,-8.83,-0.52,77.68,0.01,2
107,Entry long,2018-12-13,112.9794807073,113.568,1700,193065.6,-8.83,-0.52,0,1.57,0.09,-8.83,-0.52,77.68,0.01,2
108,Exit long,2018-12-17,BL Exit Long 2,112.836,1700,193065.6,-10.97,-0.64,0,1.57,0.09,-13.33,-0.78,66.71,0.01,2
108,Entry long,2018-12-13,112.9794807073,113.568,1700,193065.6,-10.97,-0.64,0,1.57,0.09,-13.33,-0.78,66.71,0.01,2
109,Exit short,2019-07-16,BL Exit Short 1,108.194,1763,190211.833,-4.95,-0.28,0,1.54,0.09,-7.86,-0.45,61.76,0.01,2
109,Entry short,2019-07-12,108.4584714603,107.891,1763,190211.833,-4.95,-0.28,0,1.54,0.09,-7.86,-0.45,61.76,0.01,2
110,Exit short,2019-07-16,BL Exit Short 2,108.194,1763,190211.833,-4.95,-0.28,0,1.54,0.09,-7.86,-0.45,56.81,0.01,2
110,Entry short,2019-07-12,108.4584714603,107.891,1763,190211.833,-4.95,-0.28,0,1.54,0.09,-7.86,-0.45,56.81,0.01,2
111,Exit short,2019-07-23,BL Exit Short 1,108.232,1852,199884.508,-5.21,-0.28,0,12.36,0.67,-6.08,-0.33,51.6,0.01,4
111,Entry short,2019-07-17,108.4691150868,107.929,1852,199884.508,-5.21,-0.28,0,12.36,0.67,-6.08,-0.33,51.6,0.01,4
112,Exit short,2019-07-23,BL Exit Short 2,108.232,1852,199884.508,-5.21,-0.28,0,12.36,0.67,-6.08,-0.33,46.4,0.00,4
112,Entry short,2019-07-17,108.4691150868,107.929,1852,199884.508,-5.21,-0.28,0,12.36,0.67,-6.08,-0.33,46.4,0.00,4
113,Exit long,2019-12-02,SL/TP 1,109.713,2087,227468.391,13.73,0.66,0,13.73,0.66,-2.38,-0.11,60.12,0.01,5
113,Entry long,2019-11-25,108.5135698761,108.993,2087,227468.391,13.73,0.66,0,13.73,0.66,-2.38,-0.11,60.12,0.01,5
114,Exit long,2019-12-03,Exit Long 2,108.659,2087,227468.391,-6.39,-0.31,0,13.9,0.67,-9.86,-0.47,53.73,0.01,6
114,Entry long,2019-11-25,108.5135698761,108.993,2087,227468.391,-6.39,-0.31,0,13.9,0.67,-9.86,-0.47,53.73,0.01,6
115,Exit long,2019-12-30,SL/TP 1,108.913,2045,223729.135,-9.16,-0.45,0,5.59,0.27,-9.16,-0.45,44.57,0.00,12
115,Entry long,2019-12-12,108.9137940623,109.403,2045,223729.135,-9.16,-0.45,0,5.59,0.27,-9.16,-0.45,44.57,0.00,12
116,Exit long,2019-12-30,Exit Long 2,108.869,2045,223729.135,-9.98,-0.49,0,5.59,0.27,-11.98,-0.59,34.58,0.00,12
116,Entry long,2019-12-12,108.9137940623,109.403,2045,223729.135,-9.98,-0.49,0,5.59,0.27,-11.98,-0.59,34.58,0.00,12
117,Exit short,2020-09-09,BL Exit Short 1,106.232,1519,160962.354,-3.8,-0.25,0,2.49,0.16,-4.32,-0.28,30.78,0.00,1
117,Entry short,2020-09-08,106.6242666297,105.966,1519,160962.354,-3.8,-0.25,0,2.49,0.16,-4.32,-0.28,30.78,0.00,1
118,Exit short,2020-09-09,BL Exit Short 2,106.232,1519,160962.354,-3.8,-0.25,0,2.49,0.16,-4.32,-0.28,26.98,0.00,1
118,Entry short,2020-09-08,106.6242666297,105.966,1519,160962.354,-3.8,-0.25,0,2.49,0.16,-4.32,-0.28,26.98,0.00,1
119,Exit short,2021-01-27,SL/TP 1,104.059,2167,224494.699,-9.66,-0.45,0,0.31,0.01,-9.66,-0.45,17.32,0.00,1
119,Entry short,2021-01-26,104.0586415636,103.597,2167,224494.699,-9.66,-0.45,0,0.31,0.01,-9.66,-0.45,17.32,0.00,1
120,Exit short,2021-01-27,Exit Short 2,104.136,2167,224494.699,-11.27,-0.52,0,0.31,0.01,-12.52,-0.58,6.05,0.00,1
120,Entry short,2021-01-26,104.0586415636,103.597,2167,224494.699,-11.27,-0.52,0,0.31,0.01,-12.52,-0.58,6.05,0.00,1
121,Exit long,2021-05-20,BL Exit Long 1,108.859,1665,181914.57,-6.1,-0.37,0,0.5,0.03,-8.67,-0.52,-0.04,0.00,1
121,Entry long,2021-05-19,108.6575839412,109.258,1665,181914.57,-6.1,-0.37,0,0.5,0.03,-8.67,-0.52,-0.04,0.00,1
122,Exit long,2021-05-20,BL Exit Long 2,108.859,1665,181914.57,-6.1,-0.37,0,0.5,0.03,-8.67,-0.52,-6.14,0.00,1
122,Entry long,2021-05-19,108.6575839412,109.258,1665,181914.57,-6.1,-0.37,0,0.5,0.03,-8.67,-0.52,-6.14,0.00,1
123,Exit long,2021-07-27,SL/TP 1,109.952,1762,194736.24,-9.05,-0.51,0,0.91,0.05,-9.05,-0.51,-15.2,0.00,2
123,Entry long,2021-07-23,109.9527285175,110.52,1762,194736.24,-9.05,-0.51,0,0.91,0.05,-9.05,-0.51,-15.2,0.00,2
124,Exit long,2021-07-27,BL Exit Long 2,109.802,1762,194736.24,-11.44,-0.65,0,0.91,0.05,-15.04,-0.85,-26.64,0.00,2
124,Entry long,2021-07-23,109.9527285175,110.52,1762,194736.24,-11.44,-0.65,0,0.91,0.05,-15.04,-0.85,-26.64,0.00,2
125,Exit short,2021-08-25,BL Exit Short 1,109.973,1771,194393.815,-3.36,-0.19,0,11.16,0.63,-6.08,-0.34,-29.99,0.00,4
125,Entry short,2021-08-19,110.3294667701,109.765,1771,194393.815,-3.36,-0.19,0,11.16,0.63,-6.08,-0.34,-29.99,0.00,4
126,Exit short,2021-08-25,BL Exit Short 2,109.973,1771,194393.815,-3.36,-0.19,0,11.16,0.63,-6.08,-0.34,-33.35,0.00,4
126,Entry short,2021-08-19,110.3294667701,109.765,1771,194393.815,-3.36,-0.19,0,11.16,0.63,-6.08,-0.34,-33.35,0.00,4
127,Exit short,2021-09-23,SL/TP 1,109.945,1949,213282.968,-9.15,-0.47,0,5.61,0.29,-9.15,-0.47,-42.5,0.00,3
127,Entry short,2021-09-20,109.9448507442,109.432,1949,213282.968,-9.15,-0.47,0,5.61,0.29,-9.15,-0.47,-42.5,0.00,3
128,Exit short,2021-09-23,Exit Short 2,110.326,1949,213282.968,-15.95,-0.82,0,5.61,0.29,-16.27,-0.83,-58.45,-0.01,3
128,Entry short,2021-09-20,109.9448507442,109.432,1949,213282.968,-15.95,-0.82,0,5.61,0.29,-16.27,-0.83,-58.45,-0.01,3
129,Exit long,2022-03-11,SL/TP 1,116.397,1451,167393.164,12.9,0.90,0,12.9,0.90,-0.55,-0.04,-45.55,0.00,4
129,Entry long,2022-03-07,114.6755243598,115.364,1451,167393.164,12.9,0.90,0,12.9,0.90,-0.55,-0.04,-45.55,0.00,4
130,Exit long,2022-05-12,Exit Long 2,128.603,1451,167393.164,147.24,11.48,0,181.1,13.85,-0.55,-0.04,101.69,0.01,48
130,Entry long,2022-03-07,114.6755243598,115.364,1451,167393.164,147.24,11.48,0,181.1,13.85,-0.55,-0.04,101.69,0.01,48
131,Exit long,2022-06-03,SL/TP 1,130.523,840,108138.24,11.53,1.39,0,11.53,1.39,-0.01,0.00,113.22,0.01,3
131,Entry long,2022-05-31,127.5446825691,128.736,840,108138.24,11.53,1.39,0,11.53,1.39,-0.01,0.00,113.22,0.01,3
132,Exit long,2022-07-22,Exit Long 2,136.084,840,108138.24,44.63,5.71,0,65.34,8.27,-0.01,0.00,157.85,0.02,38
132,Entry long,2022-05-31,127.5446825691,128.736,840,108138.24,44.63,5.71,0,65.34,8.27,-0.01,0.00,157.85,0.02,38
133,Exit long,2024-06-21,SL/TP 1,159.12,864,135978.048,9.5,1.10,0,9.5,1.10,-1.28,-0.15,167.35,0.02,5
133,Entry long,2024-06-14,156.2237660688,157.382,864,135978.048,9.5,1.10,0,9.5,1.10,-1.28,-0.15,167.35,0.02,5
134,Exit long,2024-07-11,Exit Long 2,158.782,864,135978.048,7.5,0.89,0,24.42,2.90,-1.28,-0.15,174.85,0.02,19
134,Entry long,2024-06-14,156.2237660688,157.382,864,135978.048,7.5,0.89,0,24.42,2.90,-1.28,-0.15,174.85,0.02,19
135,Exit short,2024-09-11,SL/TP 1,140.9,532,76461.168,10.49,1.96,0,10.49,1.96,-1.82,-0.35,185.34,0.02,5
135,Entry short,2024-09-04,145.6060833854,143.724,532,76461.168,10.49,1.96,0,10.49,1.96,-1.82,-0.35,185.34,0.02,5
136,Exit short,2024-09-20,Exit Short 2,143.904,532,76461.168,-0.67,-0.13,0,15.55,2.89,-2.88,-0.54,184.67,0.02,12
136,Entry short,2024-09-04,145.6060833854,143.724,532,76461.168,-0.67,-0.13,0,15.55,2.89,-2.88,-0.54,184.67,0.02,12
137,Exit long,2025-07-15,SL/TP 1,148.126,729,106480.656,10.19,1.41,0,10.19,1.41,-1.57,-0.22,194.86,0.02,6
137,Entry long,2025-07-07,144.6899153541,146.064,729,106480.656,10.19,1.41,0,10.19,1.41,-1.57,-0.22,194.86,0.02,6
138,Exit long,2025-07-22,Exit Long 2,146.625,729,106480.656,2.75,0.38,0,15.38,2.13,-1.57,-0.22,197.61,0.02,11
138,Entry long,2025-07-07,144.6899153541,146.064,729,106480.656,2.75,0.38,0,15.38,2.13,-1.57,-0.22,197.61,0.02,11
139,Exit long,2025-09-15,BL Exit Long 1,147.409,868,128174.956,-1.52,-0.17,0,0.45,0.05,-2.6,-0.30,196.09,0.02,1
139,Entry long,2025-09-12,146.5133133635,147.667,868,128174.956,-1.52,-0.17,0,0.45,0.05,-2.6,-0.30,196.09,0.02,1
140,Exit long,2025-09-15,BL Exit Long 2,147.409,868,128174.956,-1.52,-0.17,0,0.45,0.05,-2.6,-0.30,194.57,0.02,1
140,Entry long,2025-09-12,146.5133133635,147.667,868,128174.956,-1.52,-0.17,0,0.45,0.05,-2.6,-0.30,194.57,0.02,1
141,Exit long,2026-04-30,SL/TP 1,158.482,1054,168042.382,-6.28,-0.60,0,8.48,0.81,-6.28,-0.60,188.28,0.02,6
141,Entry long,2026-04-22,158.4821931306,159.433,1054,168042.382,-6.28,-0.60,0,8.48,0.81,-6.28,-0.60,188.28,0.02,6
142,Exit long,2026-04-30,Exit Long 2,156.559,1054,168042.382,-18.98,-1.80,0,8.48,0.81,-25.64,-2.43,169.3,0.02,6
142,Entry long,2026-04-22,158.4821931306,159.433,1054,168042.382,-18.98,-1.80,0,8.48,0.81,-25.64,-2.43,169.3,0.02,6
143,Exit long,2026-07-10,SL/TP 1,161.815,1342,218158.204,-6.16,-0.46,0,0.34,0.03,-6.16,-0.46,163.14,0.02,2
143,Entry long,2026-07-08,161.8155590641,162.562,1342,218158.204,-6.16,-0.46,0,0.34,0.03,-6.16,-0.46,163.14,0.02,2
144,Exit long,2026-07-10,BL Exit Long 2,161.724,1342,218158.204,-6.92,-0.52,0,0.34,0.03,-10.6,-0.79,156.22,0.02,2
144,Entry long,2026-07-08,161.8155590641,162.562,1342,218158.204,-6.92,-0.52,0,0.34,0.03,-10.6,-0.79,156.22,0.02,2
