Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
38,Entry short,2009-03-02,1.2768943292,1.2559,46865,58857.7535,-693.6,-1.18,0,473.34,0.80,-1241.92,-2.11,-3287.49,-0.33,6
39,Exit short,2009-04-29,SL/TP 1,1.32073,51649,67246.998,-967.39,-1.44,0,273.74,0.41,-967.39,-1.44,-4254.88,-0.43,2
39,Entry short,2009-04-27,1.3207249005,1.302,51649,67246.998,-967.39,-1.44,0,273.74,0.41,-967.39,-1.44,-4254.88,-0.43,2
40,Exit short,2009-04-29,Exit Short 2,1.3255,51649,67246.998,-1213.75,-1.80,0,273.74,0.41,-1678.59,-2.50,-5468.63,-0.55,2
40,Entry short,2009-04-27,1.3207249005,1.302,51649,67246.998,-1213.75,-1.80,0,273.74,0.41,-1678.59,-2.50,-5468.63,-0.55,2
41,Exit long,2009-06-24,BL Exit Long 1,1.393,49031,69011.1325,-710.95,-1.03,0,308.9,0.45,-911.98,-1.32,-6179.58,-0.62,1
41,Entry long,2009-06-23,1.3882203144,1.4075,49031,69011.1325,-710.95,-1.03,0,308.9,0.45,-911.98,-1.32,-6179.58,-0.62,1
42,Exit long,2009-06-24,BL Exit Long 2,1.393,49031,69011.1325,-710.95,-1.03,0,308.9,0.45,-911.98,-1.32,-6890.53,-0.69,1
42,Entry long,2009-06-23,1.3882203144,1.4075,49031,69011.1325,-710.95,-1.03,0,308.9,0.45,-911.98,-1.32,-6890.53,-0.69,1
43,Exit long,2009-07-02,BL Exit Long 1,1.3952,49335,69039.399,-207.21,-0.30,0,1021.23,1.48,-330.54,-0.48,-7097.73,-0.71,5
43,Entry long,2009-06-25,1.3802389446,1.3994,49335,69039.399,-207.21,-0.30,0,1021.23,1.48,-330.54,-0.48,-7097.73,-0.71,5
44,Exit long,2009-07-02,BL Exit Long 2,1.3952,49335,69039.399,-207.21,-0.30,0,1021.23,1.48,-330.54,-0.48,-7304.94,-0.73,5
44,Entry long,2009-06-25,1.3802389446,1.3994,49335,69039.399,-207.21,-0.30,0,1021.23,1.48,-330.54,-0.48,-7304.94,-0.73,5
45,Exit long,2009-07-07,Exit Long 1,1.3919,52346,73148.3004,-287.9,-0.39,0,397.83,0.54,-512.99,-0.70,-7592.84,-0.76,2
45,Entry long,2009-07-03,1.3796128877,1.3974,52346,73148.3004,-287.9,-0.39,0,397.83,0.54,-512.99,-0.70,-7592.84,-0.76,2
46,Exit long,2009-07-07,Exit Long 2,1.3919,52346,73148.3004,-287.9,-0.39,0,397.83,0.54,-512.99,-0.70,-7880.75,-0.79,2
46,Entry long,2009-07-03,1.3796128877,1.3974,52346,73148.3004,-287.9,-0.39,0,397.83,0.54,-512.99,-0.70,-7880.75,-0.79,2
47,Exit long,2009-08-07,Exit Long 1,1.4169,61529,87684.9779,-504.54,-0.58,0,1205.97,1.38,-596.83,-0.68,-8385.28,-0.84,5
47,Entry long,2009-07-31,1.4101283804,1.4251,61529,87684.9779,-504.54,-0.58,0,1205.97,1.38,-596.83,-0.68,-8385.28,-0.84,5
48,Exit long,2009-08-07,Exit Long 2,1.4169,61529,87684.9779,-504.54,-0.58,0,1205.97,1.38,-596.83,-0.68,-8889.82,-0.89,5
48,Entry long,2009-07-31,1.4101283804,1.4251,61529,87684.9779,-504.54,-0.58,0,1205.97,1.38,-596.83,-0.68,-8889.82,-0.89,5
49,Exit short,2010-03-24,SL/TP 1,1.34093,69150,94092.405,1367.1,1.45,0,1367.1,1.45,-131.38,-0.14,-7522.73,-0.75,4
49,Entry short,2010-03-18,1.3738756666,1.3607,69150,94092.405,1367.1,1.45,0,1367.1,1.45,-131.38,-0.14,-7522.73,-0.75,4
50,Exit short,2010-04-01,Exit Short 2,1.3583,69150,94092.405,165.96,0.18,0,2358.02,2.51,-131.38,-0.14,-7356.77,-0.74,10
50,Entry short,2010-03-18,1.3738756666,1.3607,69150,94092.405,165.96,0.18,0,2358.02,2.51,-131.38,-0.14,-7356.77,-0.74,10
51,Exit short,2010-04-09,SL/TP 1,1.34634,73899,98566.4862,-926.69,-0.94,0,421.22,0.43,-926.69,-0.94,-8283.46,-0.83,2
51,Entry short,2010-04-07,1.3463364769,1.3338,73899,98566.4862,-926.69,-0.94,0,421.22,0.43,-926.69,-0.94,-8283.46,-0.83,2
52,Exit short,2010-04-09,BL Exit Short 2,1.3494,73899,98566.4862,-1152.82,-1.17,0,421.22,0.43,-1160.21,-1.18,-9436.28,-0.94,2
52,Entry short,2010-04-07,1.3463364769,1.3338,73899,98566.4862,-1152.82,-1.17,0,421.22,0.43,-1160.21,-1.18,-9436.28,-0.94,2
53,Exit long,2010-11-04,SL/TP 1,1.42753,55383,77702.349,1358.55,1.75,0,1358.55,1.75,-215.99,-0.28,-8077.74,-0.81,2
