Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
47,Entry long,2009-07-15,1.6208065084,1.6424,46310.5,76060.3652,-411.7,-0.54,0,257.49,0.34,-734.02,-0.97,27432.88,2.74,2
48,Exit long,2009-07-17,BL Exit Long 2,1.63351,46310.5,76060.3652,-411.7,-0.54,0,257.49,0.34,-734.02,-0.97,27021.18,2.70,2
48,Entry long,2009-07-15,1.6208065084,1.6424,46310.5,76060.3652,-411.7,-0.54,0,257.49,0.34,-734.02,-0.97,27021.18,2.70,2
49,Exit long,2009-07-22,SL/TP 1,1.63384,47783.5,79070.7023,-1000.11,-1.26,0,26.28,0.03,-1000.11,-1.26,26021.07,2.60,2
49,Entry long,2009-07-20,1.6338422518,1.65477,47783.5,79070.7023,-1000.11,-1.26,0,26.28,0.03,-1000.11,-1.26,26021.07,2.60,2
50,Exit long,2009-08-10,Exit Long 2,1.64823,47783.5,79070.7023,-312.5,-0.40,0,2366.72,2.99,-1128.65,-1.43,25708.57,2.57,15
50,Entry long,2009-07-20,1.6338422518,1.65477,47783.5,79070.7023,-312.5,-0.40,0,2366.72,2.99,-1128.65,-1.43,25708.57,2.57,15
51,Exit long,2010-11-04,SL/TP 1,1.61871,62242.5,99252.51293,1500.04,1.51,0,1500.04,1.51,-425.74,-0.43,27208.61,2.72,5
51,Entry long,2010-10-28,1.5785387502,1.59461,62242.5,99252.51293,1500.04,1.51,0,1500.04,1.51,-425.74,-0.43,27208.61,2.72,5
52,Exit long,2010-11-16,Exit Long 2,1.5885,62242.5,99252.51293,-380.3,-0.38,0,2200.27,2.22,-661.02,-0.67,26828.31,2.68,13
52,Entry long,2010-10-28,1.5785387502,1.59461,62242.5,99252.51293,-380.3,-0.38,0,2200.27,2.22,-661.02,-0.67,26828.31,2.68,13
